GEOID,tpopr,nhwhite,nhblk,nhasn,hisp,pblk,pwht,pasn,phisp
06037117303,3512,1399,106,553,1376,0.0301822,0.3983485,0.1574601,0.3917995
06037117404,4279,1561,209,704,1670,0.0488432,0.3648049,0.1645244,0.3902781
06037117405,3442,115,123,54,3119,0.035735,0.0334108,0.0156886,0.9061592
06037117407,3636,60,85,85,3377,0.0233773,0.0165017,0.0233773,0.9287679
06037117408,2830,200,131,120,2335,0.0462898,0.0706714,0.0424028,0.8250883
06037117510,4028,178,139,311,3359,0.0345084,0.0441907,0.0772095,0.8339126
06037117520,4052,154,166,197,3484,0.0409674,0.0380059,0.048618,0.8598223
06037117530,5641,288,173,870,4232,0.0306683,0.0510548,0.154228,0.7502216
06037119001,4038,392,31,680,2846,0.0076771,0.0970778,0.1684002,0.7048044
06037119002,7210,383,35,482,6234,0.0048544,0.0531207,0.0668516,0.8646325
06037119201,4137,266,47,216,3574,0.0113609,0.0642978,0.0522117,0.863911
06037119202,4707,237,69,177,4189,0.014659,0.0503505,0.0376036,0.8899511
06037119310,3871,425,163,559,2668,0.042108,0.1097908,0.1444071,0.6892276
06037119320,4694,317,204,830,3268,0.0434597,0.067533,0.1768215,0.6962079
06037119340,3884,86,77,50,3654,0.0198249,0.0221421,0.0128733,0.9407827
06037119341,2719,262,94,817,1484,0.0345715,0.096359,0.3004781,0.5457889
06037119342,3180,151,112,318,2551,0.0352201,0.0474843,0.1,0.8022013
06037119400,4987,385,64,376,4079,0.0128334,0.0772007,0.075396,0.8179266
06037119700,5045,1352,75,1122,2392,0.0148662,0.2679881,0.2223984,0.4741328
06037119800,6108,545,62,673,4776,0.0101506,0.0892272,0.1101834,0.7819253
06037119900,4940,577,65,1049,3164,0.0131579,0.1168016,0.2123482,0.6404858
06037120010,2844,218,59,274,2216,0.0207454,0.0766526,0.0963432,0.7791842
06037120020,4057,203,84,615,3100,0.020705,0.050037,0.1515898,0.7641114
06037120030,2675,73,8,99,2483,0.0029907000000000002,0.0272897,0.0370093,0.9282243
06037120103,3287,74,95,77,3021,0.0289017,0.0225129,0.0234256,0.9190751
06037120104,2310,184,126,358,1599,0.0545455,0.0796537,0.1549784,0.6922078
06037120105,2812,280,52,403,2043,0.0184922,0.0995733,0.1433144,0.7265292
06037120106,4417,206,93,624,3427,0.021055,0.046638,0.1412724,0.775866
06037120107,3818,203,78,202,3276,0.0204295,0.0531692,0.0529073,0.8580409
06037120108,4838,301,183,310,3976,0.0378255,0.0622158,0.0640761,0.8218272
06037120300,5531,898,86,1075,3381,0.0155487,0.1623576,0.1943591,0.6112819
06037120400,6272,1110,176,1283,3556,0.0280612,0.176977,0.2045599,0.5669643
06037121010,4989,1203,49,523,3125,0.0098216,0.2411305,0.1048306,0.626378
06037121020,3741,1002,59,369,2231,0.0157712,0.2678428,0.0986367,0.5963646
06037121101,2932,504,58,284,2040,0.0197817,0.1718963,0.0968622,0.6957708
06037121102,2721,926,24,151,1574,0.0088203,0.3403161,0.0554943,0.5784638
06037121210,3122,343,33,497,2208,0.0105701,0.1098655,0.1591928,0.7072389
06037121221,2365,183,28,142,1969,0.0118393,0.0773784,0.0600423,0.8325581
06037121222,5293,342,165,231,4500,0.0311732,0.0646136,0.0436425,0.8501795
06037121600,3005,1107,54,668,1084,0.01797,0.368386,0.2222962,0.3607321
06037121801,3942,521,141,216,2990,0.0357686,0.1321664,0.0547945,0.7584982
06037121802,3525,611,196,279,2385,0.0556028,0.1733333,0.0791489,0.6765957
06037121900,4110,535,38,232,3239,0.0092457,0.1301703,0.0564477,0.7880779
06037122000,5446,2258,66,987,1987,0.012119,0.4146162,0.1812339,0.3648549
06037122120,5e3,365,34,243,4305,0.0068,0.073,0.0486,0.861
06037122121,2833,283,37,232,2248,0.0130604,0.0998941,0.081892,0.7935051
06037122122,2439,307,108,41,1959,0.0442804,0.1258713,0.0168102,0.803198
06037122200,4141,370,28,128,3577,0.0067617,0.0893504,0.0309104,0.863801
06037122410,3794,289,174,126,3157,0.0458619,0.0761729,0.0332103,0.8321033
06037122420,5050,469,158,322,4037,0.0312871,0.0928713,0.0637624,0.7994059
06037123010,4580,236,43,76,4142,0.0093886,0.0515284,0.0165939,0.9043668
06037123020,3432,219,20,144,3019,0.0058275,0.0638112,0.041958,0.879662
06037123103,4165,1056,116,296,2586,0.0278511,0.2535414,0.0710684,0.6208884
06037123104,4596,1131,160,247,2924,0.0348129,0.2460836,0.0537424,0.6362054
06037123203,3765,349,149,125,3080,0.039575,0.0926959,0.0332005,0.8180611
06037123204,3449,466,136,112,2678,0.0394317,0.1351116,0.0324732,0.7764569
06037123205,2645,285,62,71,2194,0.0234405,0.1077505,0.0268431,0.8294896
06037123206,2945,255,70,94,2504,0.0237691,0.0865874,0.0319185,0.8502547
06037123301,4559,1032,216,1140,2077,0.0473788,0.2263654,0.2500548,0.4555824
06037123303,3301,876,98,258,1988,0.029688,0.2653741,0.0781581,0.6022417
06037123304,4687,1839,152,202,2381,0.0324301,0.3923619,0.0430979,0.5080009
06037123410,4247,1350,123,248,2428,0.0289616,0.3178714,0.0583942,0.5716977
06037123420,4638,1521,92,288,2641,0.0198361,0.3279431,0.0620957,0.5694265
06037123510,4753,1763,135,370,2371,0.0284031,0.3709236,0.0778456,0.4988428
06037123520,2567,979,66,120,1326,0.0257109,0.381379,0.0467472,0.5165563
06037123601,4995,2760,203,237,1664,0.0406406,0.5525526,0.0474474,0.3331331
06037123602,3332,1662,100,211,1266,0.030012,0.4987995,0.0633253,0.379952
06037123700,4114,2332,127,317,1212,0.0308702,0.5668449,0.077054,0.2946038
06037123800,5531,3339,244,269,1494,0.044115,0.6036883,0.048635,0.2701139
06037123901,4500,1498,191,242,2461,0.0424444,0.3328889,0.0537778,0.5468889
06037123902,2561,1314,124,275,758,0.0484186,0.5130808,0.1073799,0.2959781
06037124000,4550,3480,159,200,552,0.0349451,0.7648352,0.043956,0.1213187
06037124102,3549,1123,200,223,1889,0.0563539,0.3164272,0.0628346,0.5322626
06037124103,2030,371,37,69,1523,0.0182266,0.1827586,0.0339901,0.7502463
06037124104,2439,661,163,82,1471,0.0668307,0.2710127,0.0336203,0.603116
06037124105,2658,777,108,106,1602,0.0406321,0.2923251,0.0398796,0.6027088
06037124201,3506,1073,85,240,2029,0.0242442,0.3060468,0.0684541,0.5787222
06037124203,2748,445,67,101,2080,0.0243814,0.161936,0.036754,0.7569141
06037124204,3071,712,143,163,1963,0.0465646,0.2318463,0.0530772,0.6392055
06037124300,4046,891,101,176,2816,0.0249629,0.2202175,0.0434998,0.695996
06037124400,4192,2981,138,144,820,0.0329198,0.7111164,0.0343511,0.1956107
06037124500,2779,1772,98,182,624,0.0352645,0.6376394,0.0654912,0.2245412
06037124600,3123,2154,135,239,484,0.0432277,0.6897214,0.076529,0.1549792
06037124700,4796,3516,237,287,611,0.0494162,0.7331109,0.0598415,0.1273978
06037124902,2766,1598,181,200,679,0.0654375,0.5777296,0.0723066,0.2454808
06037124903,3262,2096,204,144,668,0.0625383,0.6425506,0.0441447,0.2047823
06037125100,5431,3496,367,306,1056,0.067575,0.643712,0.0563432,0.1944393
06037125200,3524,1922,179,215,1057,0.0507946,0.545403,0.0610102,0.2999432
06037125310,4750,1723,381,248,2255,0.0802105,0.3627368,0.0522105,0.4747368
06037125320,4843,1863,482,517,1761,0.0995251,0.3846789,0.106752,0.3636176
06037125401,4024,1878,577,285,1101,0.1433897,0.4666998,0.070825,0.2736083
06037125402,3544,2123,336,232,710,0.0948081,0.5990406,0.0654628,0.2003386
06037125501,3077,1653,221,214,898,0.0718232,0.5372116,0.0695483,0.2918427
06037125502,3083,1952,244,253,493,0.0791437,0.6331495,0.0820629,0.1599092
06037125600,2657,1901,113,167,363,0.0425292,0.7154686,0.0628528,0.1366202
06037127102,4726,1026,271,412,2925,0.0573424,0.2170969,0.0871773,0.6189166
06037127103,2939,762,153,152,1812,0.0520585,0.2592719,0.0517183,0.6165362
06037127104,3573,1156,165,281,1875,0.0461797,0.3235376,0.0786454,0.5247691
06037127210,5531,1104,340,570,3411,0.0614717,0.1996022,0.1030555,0.6167058
06037127220,4931,946,239,511,3145,0.0484689,0.1918475,0.1036301,0.6378017
06037127300,4460,1329,351,437,2184,0.0786996,0.2979821,0.0979821,0.4896861
06037127400,5818,892,289,275,4259,0.0496734,0.1533173,0.0472671,0.7320385
06037127520,4045,251,122,263,3318,0.0301607,0.0620519,0.0650185,0.8202719
06037127603,2938,411,125,168,2190,0.0425459,0.1398911,0.0571818,0.745405
06037127604,2939,817,201,269,1562,0.0683906,0.2779857,0.0915277,0.5314733
06037127605,3549,504,208,206,2579,0.0586081,0.1420118,0.0580445,0.7266836
06037127606,3164,766,168,224,1925,0.0530973,0.2420986,0.0707965,0.6084071
06037127711,3356,1059,147,210,1854,0.0438021,0.3155542,0.0625745,0.5524434
06037127712,2991,737,182,224,1785,0.0608492,0.2464059,0.0748913,0.5967904
06037127803,4037,854,144,314,2633,0.0356701,0.2115432,0.0777805,0.652217
06037127804,3933,1103,269,451,2001,0.0683956,0.2804475,0.1146707,0.5087719
06037127805,3768,1042,162,224,2274,0.0429936,0.2765393,0.059448,0.6035032
06037127806,3447,810,199,264,2096,0.0577314,0.2349869,0.0765883,0.608065
06037127910,4769,964,238,247,3201,0.0499056,0.2021388,0.0517928,0.6712099
06037127920,4100,1385,113,243,2237,0.027561,0.3378049,0.0592683,0.5456098
06037128101,3738,1571,119,171,1775,0.0318352,0.4202782,0.0457464,0.4748529
06037128102,4795,871,277,288,3265,0.0577685,0.1816475,0.0600626,0.6809176
06037128210,4822,533,213,182,3814,0.0441725,0.110535,0.0377437,0.7909581
06037128220,3011,1353,124,136,1340,0.0411823,0.4493524,0.0451677,0.4450349
06037128302,4688,610,183,169,3648,0.0390358,0.1301195,0.0360495,0.778157
06037128303,3982,289,106,134,3402,0.0266198,0.0725766,0.0336514,0.8543446
06037128400,4114,2076,167,246,1489,0.0405931,0.5046184,0.0597958,0.3619349
06037128500,4015,2637,247,304,688,0.0615193,0.656787,0.0757161,0.1713574
06037128601,4288,1732,192,151,2082,0.0447761,0.4039179,0.0352146,0.485541
06037128602,3189,2235,116,171,562,0.036375,0.7008467,0.0536218,0.1762308
06037128702,5639,3951,341,388,760,0.0604717,0.7006561,0.0688065,0.1347757
06037128801,3307,2002,321,333,489,0.0970668,0.6053825,0.1006955,0.1478682
06037128802,4325,2718,264,380,797,0.0610405,0.6284393,0.0878613,0.1842775
06037128910,4083,2666,287,325,581,0.0702915,0.6529513,0.0795983,0.1422973
06037131010,6409,1361,266,983,3570,0.0415041,0.2123576,0.1533781,0.5570292
06037131020,5698,1215,152,626,3585,0.026676,0.2132327,0.1098631,0.6291681
06037131100,3252,1391,129,257,1387,0.0396679,0.4277368,0.0790283,0.4265068
06037131200,3429,1500,117,398,1246,0.0341207,0.4374453,0.1160688,0.3633712
06037131300,4902,1023,100,609,3059,0.0203998,0.2086903,0.124235,0.624031
06037131400,5897,1672,356,924,2767,0.0603697,0.283534,0.1566898,0.4692216
06037131600,5494,1587,138,650,2993,0.0251183,0.2888606,0.1183109,0.5447761
06037131701,4541,1399,298,959,1728,0.0656243,0.3080819,0.211187,0.3805329
06037131702,3751,1019,197,473,1993,0.0525193,0.2716609,0.1260997,0.531325
06037131800,5341,1267,137,776,3027,0.0256506,0.2372215,0.1452911,0.5667478
06037131900,4210,1549,124,378,2046,0.0294537,0.3679335,0.0897862,0.4859857
06037132001,3202,1666,108,243,1067,0.0337289,0.5202998,0.0758901,0.3332292
06037132002,3299,1566,85,254,1305,0.0257654,0.4746893,0.076993,0.3955744
06037132101,4259,1341,282,357,2148,0.0662127,0.3148626,0.0838225,0.5043437
06037132102,5310,1859,246,568,2474,0.0463277,0.3500942,0.106968,0.4659134
06037132300,6494,1666,190,763,3561,0.0292578,0.2565445,0.1174931,0.5483523
06037132501,3763,1363,114,408,1798,0.030295,0.362211,0.1084241,0.4778103
06037132502,3672,1598,126,345,1470,0.0343137,0.4351852,0.0939542,0.4003268
06037132700,4912,1429,128,290,2949,0.0260586,0.2909202,0.0590391,0.6003664
06037132900,3461,2147,101,277,766,0.0291823,0.6203409,0.0800347,0.2213233
06037133000,4449,1215,138,511,2489,0.0310182,0.2730951,0.1148573,0.5594516
06037133100,5446,2748,199,472,1804,0.0365406,0.5045905,0.0866691,0.3312523
06037134001,3765,334,101,442,2840,0.026826,0.0887118,0.1173971,0.7543161
06037134002,3372,615,103,513,2057,0.0305457,0.1823843,0.1521352,0.6100237
06037134101,4922,1299,179,1264,2021,0.0363673,0.2639171,0.2568062,0.4106054
06037134103,4193,1404,195,744,1760,0.0465061,0.3348438,0.1774386,0.4197472
06037134104,4322,856,258,1216,1856,0.0596946,0.1980565,0.2813512,0.4294308
06037134201,4270,1180,105,570,2328,0.0245902,0.2763466,0.1334895,0.5451991
06037134302,3732,2031,110,565,850,0.0294748,0.5442122,0.1513934,0.2277599
06037134303,5057,2146,150,784,1786,0.0296619,0.4243623,0.1550326,0.3531738
06037134304,2882,1326,117,534,817,0.0405968,0.4600972,0.185288,0.2834837
06037134305,3847,329,102,388,2985,0.0265142,0.0855212,0.1008578,0.7759293
06037134306,3498,931,286,608,1555,0.081761,0.2661521,0.1738136,0.4445397
06037134421,3941,2902,67,465,330,0.0170008,0.7363613,0.1179904,0.0837351
06037134422,4684,2891,162,746,748,0.0345858,0.6172075,0.1592656,0.1596926
06037134423,3414,2301,86,489,419,0.0251904,0.6739895,0.1432337,0.1227299
06037134424,2887,2063,48,476,194,0.0166263,0.7145826,0.164877,0.0671978
06037134520,5453,795,151,418,3968,0.0276912,0.1457913,0.0766551,0.7276728
06037134521,3126,162,25,87,2821,0.0079974,0.0518234,0.0278311,0.9024312
06037134522,3954,613,196,285,2768,0.0495701,0.1550329,0.0720789,0.7000506
06037134710,5287,739,169,617,3646,0.0319652,0.1397768,0.1167013,0.689616
06037134720,4594,1276,288,797,2066,0.0626905,0.2777536,0.1734872,0.449717
06037134800,5949,1991,219,764,2781,0.0368129,0.3346781,0.1284249,0.4674735
06037134901,3069,1799,132,231,775,0.0430108,0.5861844,0.0752688,0.2525253
06037134903,4216,1287,354,756,1653,0.0839658,0.3052657,0.1793169,0.3920778
06037134904,4338,1281,179,404,2363,0.0412633,0.2952974,0.0931305,0.5447211
06037134905,2819,1726,244,352,355,0.0865555,0.6122739,0.124867,0.1259312
06037135102,3513,2260,119,367,615,0.0338742,0.6433248,0.1044691,0.175064
06037135111,2967,1731,122,296,691,0.041119,0.5834176,0.0997641,0.2328952
06037135113,2795,1467,263,523,379,0.0940966,0.5248658,0.1871199,0.1355993
06037135114,4445,2274,225,1186,563,0.0506187,0.5115861,0.2668166,0.1266592
06037135201,2620,1780,83,291,379,0.0316794,0.6793893,0.1110687,0.1446565
06037135202,4255,2854,121,461,658,0.0284371,0.6707403,0.1083431,0.1546416
06037135203,7055,4959,139,836,847,0.0197023,0.7029057,0.1184975,0.1200567
06037137103,4199,2580,242,668,492,0.0576328,0.614432,0.1590855,0.1171708
06037137104,2717,2095,77,143,246,0.0283401,0.771071,0.0526316,0.090541
06037137201,5270,3372,280,647,720,0.0531309,0.6398482,0.1227704,0.1366224
06037137301,2264,1788,62,178,170,0.0273852,0.7897527,0.0786219,0.0750883
06037137302,4338,3404,78,330,336,0.0179806,0.7846934,0.0760719,0.077455
06037137401,4157,3210,112,225,411,0.0269425,0.7721915,0.0541256,0.0988694
06037137402,5364,4096,250,329,414,0.046607,0.7636092,0.0613348,0.0771812
06037137501,4124,2789,218,360,535,0.0528613,0.6762852,0.0872939,0.1297284
06037137502,4202,3162,175,236,417,0.0416468,0.7524988,0.0561637,0.0992385
06037137504,1939,1610,58,94,83,0.0299123,0.8303249,0.0484786,0.0428056
06037138000,4484,3604,106,253,350,0.0236396,0.8037467,0.0564228,0.0780553
06037139001,4767,3149,217,310,851,0.0455213,0.6605832,0.0650304,0.178519
06037139200,5175,3393,237,381,912,0.0457971,0.6556522,0.0736232,0.1762319
06037139301,4462,3397,160,296,426,0.0358584,0.7613178,0.066338,0.0954729
06037139302,4422,2185,409,408,1197,0.0924921,0.4941203,0.0922659,0.270692
06037139303,4186,2251,271,302,1120,0.0647396,0.5377449,0.0721452,0.2675585
06037139401,2645,1586,129,181,582,0.0487713,0.5996219,0.068431,0.2200378
06037139402,2851,2413,38,120,148,0.0133287,0.8463697,0.0420905,0.0519116
06037139502,3007,2325,46,152,259,0.0152976,0.7731959,0.0505487,0.0861324
06037139503,4657,3420,173,259,537,0.0371484,0.7343784,0.0556152,0.1153103
06037139504,3476,2653,125,147,343,0.0359609,0.7632336,0.04229,0.0986766
06037139600,4633,3594,170,294,393,0.0366933,0.7757393,0.0634578,0.0848262
06037139701,4920,4091,91,287,319,0.0184959,0.8315041,0.0583333,0.0648374
06037139702,6250,5361,83,275,272,0.01328,0.85776,0.044,0.04352
06037139703,2943,2477,49,148,129,0.0166497,0.8416582,0.0502888,0.0438328
06037139801,3539,3099,45,147,126,0.0127155,0.8756711,0.0415372,0.0356033
06037139802,3865,3225,85,231,178,0.0219922,0.8344114,0.0597671,0.0460543
06037141101,4066,2891,197,300,490,0.0484506,0.7110182,0.0737826,0.1205116
06037141102,2869,2135,142,169,325,0.0494946,0.7441617,0.0589055,0.1132799
06037141201,3707,2497,249,237,593,0.0671702,0.6735905,0.0639331,0.1599676
06037141202,2800,2181,107,144,253,0.0382143,0.7789286,0.0514286,0.0903571
06037141302,5504,3880,302,457,646,0.0548692,0.7049419,0.0830305,0.1173692
06037141303,3089,2161,172,237,411,0.0556815,0.6995792,0.0767239,0.1330528
06037141304,2738,2100,112,170,236,0.0409058,0.7669832,0.0620891,0.0861943
06037141400,4412,3459,148,253,411,0.0335449,0.7839982,0.0573436,0.093155
06037141500,2984,2520,42,163,160,0.0140751,0.844504,0.0546247,0.0536193
06037141600,4029,3379,88,231,219,0.0218416,0.8386696,0.0573343,0.0543559
