GEOID,tpopr,nhwhite,nhblk,nhasn,hisp,pblk,pwht,pasn,phisp
26163521800,1216,26,1150,1,11,0.9457237,0.0213816,8.224e-4,0.0090461
26163521900,2942,787,1930,26,98,0.6560163,0.2675051,0.0088375,0.0333107
26163522000,2061,65,1907,2,47,0.925279,0.0315381,9.704e-4,0.0228045
26163522100,950,24,842,5,66,0.8863158,0.0252632,0.0052632,0.0694737
26163522200,655,13,608,0,27,0.9282443,0.0198473,0,0.0412214
26163522300,1704,21,1624,0,23,0.9530516,0.0123239,0,0.0134977
26163522400,1147,55,1027,5,28,0.8953793,0.0479512,0.0043592,0.0244115
26163522500,1707,281,1307,12,55,0.7656708,0.1646163,0.0070299,0.0322203
26163523100,1648,287,280,3,1032,0.1699029,0.1741505,0.0018204,0.6262136
26163523200,3850,636,190,12,2937,0.0493506,0.1651948,0.0031169,0.7628571
26163523300,3326,427,294,4,2554,0.0883945,0.1283824,0.0012026,0.76788940000000006
26163523400,2720,516,732,3,1411,0.2691176,0.1897059,0.0011029,0.51875
26163523800,4582,988,264,21,3216,0.0576168,0.2156264,0.0045832,0.7018769
26163524000,2985,515,140,23,2258,0.0469012,0.1725293,0.0077052,0.7564489
26163524100,3942,832,264,1,2760,0.0669711,0.2110604,2.537e-4,0.7001522
26163524200,4964,1058,262,12,3572,0.05278,0.2131346,0.0024174,0.719581
26163524300,2812,653,95,6,1994,0.0337838,0.2322191,0.0021337,0.7091038
26163524500,1264,366,90,6,759,0.0712025,0.289557,0.0047468,0.6004747
26163524700,4150,51,3894,1,138,0.9383133,0.0122892,2.41e-4,0.033253
26163524800,2796,50,2585,0,122,0.9245351,0.0178827,0,0.0436338
26163524900,1679,436,309,3,888,0.1840381,0.2596784,0.0017868,0.5288862
26163525000,1104,285,375,1,416,0.3396739,0.2581522,9.058e-4,0.3768116
26163525400,2374,220,1308,29,795,0.5509688,0.0926706,0.0122157,0.3348778
26163525500,1191,41,688,9,437,0.5776658,0.0344249,0.0075567,0.3669186
26163525600,1671,333,133,6,1172,0.0795931,0.1992819,0.0035907,0.7013764
26163525700,5004,998,244,30,3624,0.048761,0.1994404,0.0059952,0.7242206
26163525800,2091,382,277,7,1378,0.1324725,0.1826877,0.0033477,0.6590148
26163526000,2984,1271,241,15,1307,0.0807641,0.4259383,0.0050268,0.4380027
26163526100,2631,1473,158,2,863,0.0600532,0.5598632,7.602e-4,0.3280122
26163526200,3176,1054,310,10,1686,0.0976071,0.331864,0.0031486,0.5308564
26163526300,3635,525,470,14,2534,0.1292985,0.1444292,0.0038514,0.6971114
26163526400,1600,147,472,11,943,0.295,0.091875,0.006875,0.589375
26163526500,2482,37,2158,2,206,0.8694601,0.0149073,8.058e-4,0.0829976
26163527200,1190,4,1116,0,45,0.9378151,0.0033613,0,0.0378151
26163527300,1275,10,1128,0,100,0.8847059,0.0078431,0,0.0784314
26163530100,3024,18,2928,2,29,0.968254,0.0059524,6.614e-4,0.0095899
26163530200,4192,517,3367,135,83,0.8031966,0.1233302,0.0322042,0.0197996
26163530300,1891,16,1817,4,9,0.9608673,0.0084611,0.0021153,0.0047594
26163530400,1694,5,1654,0,13,0.9763872,0.0029516,0,0.0076741
26163530500,2283,43,2170,3,10,0.9505037,0.0188349,0.0013141,0.0043802
26163530800,2130,28,2044,0,18,0.9596244,0.0131455,0,0.0084507
26163530900,2694,20,2591,2,32,0.9617669,0.0074239,7.424e-4,0.0118782
26163531100,1610,82,1466,4,23,0.910559,0.0509317,0.0024845,0.0142857
26163531200,2532,88,2326,0,49,0.9186414,0.0347551,0,0.0193523
26163531300,1497,29,1412,0,9,0.9432198,0.0193721,0,0.006012
26163531400,1935,11,1865,2,25,0.9638243,0.0056848,0.0010336,0.0129199
26163531500,3018,40,2906,1,21,0.9628893,0.0132538,3.313e-4,0.0069583
26163531600,1981,23,1920,3,8,0.9692075,0.0116103,0.0015144,0.0040384
26163531700,2070,22,1982,2,7,0.9574879,0.010628,9.662e-4,0.0033816
26163531800,2139,22,2078,2,9,0.971482,0.0102852,9.35e-4,0.0042076
26163531900,1425,56,1348,0,9,0.9459649,0.0392982,0,0.0063158
26163532200,1696,39,1604,3,16,0.9457547,0.0229953,0.0017689,0.009434
26163532300,962,112,802,5,8,0.8336798,0.1164241,0.0051975,0.008316
26163532400,1635,67,1509,4,14,0.9229358,0.0409786,0.0024465,0.0085627
26163532600,2043,106,1742,79,67,0.8526676,0.0518845,0.0386686,0.0327949
26163532700,962,16,915,0,14,0.9511435,0.016632,0,0.014553
