GEOID,tpopr,nhwhite,nhblk,nhasn,hisp,pblk,pwht,pasn,phisp
261635003001006,73,7,58,0,4,0.7945205,0.0958904,0,0.0547945
261635003001007,41,2,36,0,2,0.8780488,0.0487805,0,0.0487805
261635003001011,115,6,106,0,0,0.9217391,0.0521739,0,0
261635003001008,51,2,49,0,0,0.9607843,0.0392157,0,0
261635003001009,71,1,62,0,0,0.8732394,0.0140845,0,0
261635003002008,0,0,0,0,0,0.8395502082592561,0.07763622124795029,0.007535890480711142,0.052996873962199015
261635003002000,64,6,46,6,0,0.71875,0.09375,0.09375,0
261635003002004,71,17,50,0,0,0.7042254,0.2394366,0,0
261635003002003,84,7,75,0,0,0.8928571,0.0833333,0,0
261635003002001,62,2,57,0,0,0.9193548,0.0322581,0,0
261635003002006,89,6,83,0,0,0.9325843,0.0674157,0,0
261635003002007,1,1,0,0,0,0,1,0,0
261635003002002,76,7,69,0,0,0.9078947,0.0921053,0,0
261635003002005,93,7,81,0,0,0.8709677,0.0752688,0,0
261635003002009,15,2,13,0,0,0.8666667,0.1333333,0,0
261635003002010,66,5,56,0,1,0.8484848,0.0757576,0,0.0151515
261635003002011,41,4,36,0,0,0.8780488,0.097561,0,0
261635003002012,56,12,44,0,0,0.7857143,0.2142857,0,0
261635003002013,66,2,46,8,10,0.6969697,0.030303,0.121212,0.1515152
261635003002014,37,0,36,0,0,0.972973,0,0,0
261635003003000,83,4,72,0,6,0.8674699,0.0481928,0,0.0722892
261635003003001,59,9,38,10,2,0.6440678,0.1525424,0.169491,0.0338983
261635003003006,106,4,100,0,0,0.9433962,0.0377358,0,0
261635003003002,54,2,52,0,0,0.962963,0.037037,0,0
261635003003003,105,6,92,0,2,0.8761905,0.0571429,0,0.0190476
261635003003004,104,3,88,12,0,0.8461538,0.0288462,0.115385,0
261635003003005,89,1,76,12,0,0.8539326,0.011236,0.134831,0
261635003003008,47,0,33,14,0,0.7021277,0,0.297872,0
261635003003007,73,8,64,0,0,0.8767123,0.109589,0,0
261635003004000,97,6,76,13,0,0.7835052,0.0618557,0.134021,0
261635003004005,83,8,74,0,1,0.8915663,0.0963855,0,0.0120482
261635003004008,40,7,33,0,0,0.825,0.175,0,0
