GEOID,nhblk,nhwhite,nhasn,hisp,noth,tpop,pblk,pwht,pasn,phisp,poth,ppov,pu18,p2234,pcol,pfb,NAME,nhwhitec,nhasnc,nhblkc,nothc,hispc,tpopc,pwhtc,pasnc,pblkc,pothc,phispc
48201233101,97,782,83,3325,143,4430,0.021896162528216703,0.1765237020316027,0.01873589164785553,0.7505643340857788,0.032279909706546275,0.3018058690744921,0.31918735891647854,0.18171557562076748,0.07899090157154673,0.372234762979684,"Houston-The Woodlands-Sugar Land, TX",2469095,492193,1116928,125341,2432651,6636208,0.3720641366274234,0.07416780788064509,0.1683081663504218,0.018887442949346977,0.3665724461921627
48201233102,0,897,0,6593,47,7537,0,0.11901286984211225,0,0.8747512272787581,0.006235902879129627,0.35564853556485354,0.39750563884834816,0.1767281411702269,0.06142703862660944,0.3839724028127902,"Houston-The Woodlands-Sugar Land, TX",2469095,492193,1116928,125341,2432651,6636208,0.3720641366274234,0.07416780788064509,0.1683081663504218,0.018887442949346977,0.3665724461921627
48201233103,21,605,12,4579,9,5226,0.004018369690011481,0.11576731725985458,0.002296211251435132,0.8761959433601225,0.001722158438576349,0.4474039760663964,0.3710294680443934,0.1999617298124761,0.010237659963436929,0.4316877152698048,"Houston-The Woodlands-Sugar Land, TX",2469095,492193,1116928,125341,2432651,6636208,0.3720641366274234,0.07416780788064509,0.1683081663504218,0.018887442949346977,0.3665724461921627
48201233200,172,1362,72,4476,0,6082,0.028280170996382768,0.22393949358763565,0.01183821111476488,0.7359421243012167,0,0.09089412152148856,0.32571522525485036,0.17346267675106872,0.060825892857142856,0.31338375534363694,"Houston-The Woodlands-Sugar Land, TX",2469095,492193,1116928,125341,2432651,6636208,0.3720641366274234,0.07416780788064509,0.1683081663504218,0.018887442949346977,0.3665724461921627
48201233300,0,377,0,4547,0,4924,0,0.07656376929325752,0,0.9234362307067425,0,0.1837936636880585,0.33549959382615757,0.1876523151909017,0.033917256802087216,0.42952883834281075,"Houston-The Woodlands-Sugar Land, TX",2469095,492193,1116928,125341,2432651,6636208,0.3720641366274234,0.07416780788064509,0.1683081663504218,0.018887442949346977,0.3665724461921627
48201233400,288,306,0,2280,9,2883,0.09989594172736732,0.10613943808532779,0,0.7908428720083247,0.003121748178980229,0.3524106833159903,0.2899757197363857,0.16163718348942074,0.051296829971181554,0.31044051335414496,"Houston-The Woodlands-Sugar Land, TX",2469095,492193,1116928,125341,2432651,6636208,0.3720641366274234,0.07416780788064509,0.1683081663504218,0.018887442949346977,0.3665724461921627
48201233500,148,661,14,7020,22,7865,0.018817546090273363,0.08404322949777496,0.0017800381436745073,0.8925619834710744,0.002797202797202797,0.3292887569381696,0.28162746344564527,0.15842339478703116,0.04127503064977524,0.37800381436745073,"Houston-The Woodlands-Sugar Land, TX",2469095,492193,1116928,125341,2432651,6636208,0.3720641366274234,0.07416780788064509,0.1683081663504218,0.018887442949346977,0.3665724461921627
48201233600,1177,18,20,970,43,2228,0.5282764811490126,0.00807899461400359,0.008976660682226212,0.4353680430879713,0.019299820466786355,0.4730700179533214,0.32809694793536803,0.1606822262118492,0.11738148984198646,0.17594254937163376,"Houston-The Woodlands-Sugar Land, TX",2469095,492193,1116928,125341,2432651,6636208,0.3720641366274234,0.07416780788064509,0.1683081663504218,0.018887442949346977,0.3665724461921627
48201233701,555,468,0,4726,6,5755,0.09643788010425716,0.08132059079061686,0,0.8211989574283232,0.0010425716768027802,0.2953953084274544,0.2986967854039965,0.1998262380538662,0.08401329706860079,0.35986099044309294,"Houston-The Woodlands-Sugar Land, TX",2469095,492193,1116928,125341,2432651,6636208,0.3720641366274234,0.07416780788064509,0.1683081663504218,0.018887442949346977,0.3665724461921627
48201233702,28,188,0,2739,10,2965,0.009443507588532884,0.06340640809443508,0,0.9237774030354131,0.003372681281618887,0.15295717199184228,0.33389544688026984,0.17537942664418213,0.027620841180163214,0.366610455311973,"Houston-The Woodlands-Sugar Land, TX",2469095,492193,1116928,125341,2432651,6636208,0.3720641366274234,0.07416780788064509,0.1683081663504218,0.018887442949346977,0.3665724461921627
