IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,Y,X
171028426,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,12/8/17 0:00,19:15:00,NORTHERN,NONE,LARKIN ST / GROVE ST,37.77865915,-122.4165835
170110537,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,2/8/17 0:00,12:15:00,SOUTHERN,NONE,KING ST / 2ND ST,37.7798612,-122.3895953
170037793,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,1/14/17 0:00,16:00:00,CENTRAL,NONE,TAYLOR ST / NORTHPOINT ST,37.80634189,-122.4154355
170459147,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,6/1/17 0:00,18:30:00,INGLESIDE,NONE,5200 Block of DIAMONDHEIGHTS BL,37.74427748,-122.4390659
170471395,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Friday,6/9/17 0:00,12:00:00,TARAVAL,NONE,2300 Block of 24TH AV,37.74372682,-122.4811832
170471414,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,6/9/17 0:00,12:15:00,MISSION,NONE,16TH ST / SAN BRUNO AV,37.76590223,-122.4055864
171031968,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,12/21/17 0:00,17:00:00,CENTRAL,NONE,300 Block of POST ST,37.78834012,-122.4075911
170039131,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,1/15/17 0:00,9:35:00,NORTHERN,NONE,3300 Block of BAKER ST,37.80207878,-122.446598
170039169,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,1/14/17 0:00,22:00:00,NORTHERN,NONE,300 Block of FRANKLIN ST,37.77778137,-122.4215417
171032370,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,12/21/17 0:00,23:00:00,NORTHERN,NONE,1000 Block of GEARY ST,37.78573311,-122.4205711
171032392,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,12/21/17 0:00,18:00:00,BAYVIEW,NONE,BARNEVELD AV / SILVER AV,37.73214308,-122.4065746
171034611,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,12/22/17 0:00,20:00:00,TARAVAL,NONE,1000 Block of IRVING ST,37.76397386,-122.4690006
