GEOID,county,state,tract,medincome,rent,tpop,pnewh,medhval,pwht,pblk,pasn,phsp,region
6001409100,Alameda County,California,Census Tract 4091,4.00E+04,1550,2414,0.036984353,231200,0.016984258,0.386495443,0.047638774,0.401822701,Bay Area
6001409200,Alameda County,California,Census Tract 4092,46250,1301,3583,0.065922921,231900,0.039352498,0.346357801,0.066424784,0.475579124,Bay Area
6001409300,Alameda County,California,Census Tract 4093,34830,1201,4986,0.030172414,239400,0.062575211,0.295427196,0.01784998,0.600481348,Bay Area
6001409400,Alameda County,California,Census Tract 4094,39189,1301,4888,0.181412639,328800,0.052577741,0.25,0.103109656,0.585106383,Bay Area
6001409500,Alameda County,California,Census Tract 4095,31682,1134,4348,0.223918575,238400,0.050827967,0.280818767,0.019549218,0.607175713,Bay Area
6001409600,Alameda County,California,Census Tract 4096,37349,1138,4843,0.118306351,238600,0.024571547,0.265950857,0.045219905,0.63824076,Bay Area
6001409700,Alameda County,California,Census Tract 4097,38357,1290,5493,0.099326599,234500,0.023848534,0.401237939,0.036774076,0.505370472,Bay Area
6001409800,Alameda County,California,Census Tract 4098,63598,986,3220,0.060294118,437600,0.113664596,0.56242236,0.080434783,0.152484472,Bay Area
6001409900,Alameda County,California,Census Tract 4099,97689,1446,3449,0.011134308,620300,0.237750072,0.469411424,0.085532038,0.147289069,Bay Area
6001410000,Alameda County,California,Census Tract 4100,107083,1674,3224,0.012479201,598400,0.357009926,0.438585608,0.046526055,0.063585608,Bay Area
6001410100,Alameda County,California,Census Tract 4101,59239,1019,2734,0.027497709,357500,0.099122165,0.629480614,0.030724214,0.172275055,Bay Area
6001410200,Alameda County,California,Census Tract 4102,49200,1062,3374,0.017269737,296800,0.068761114,0.471547125,0.03675163,0.386484884,Bay Area
6001410300,Alameda County,California,Census Tract 4103,39524,1216,3534,0.022577611,202400,0.019524618,0.242501415,0.015280136,0.646293152,Bay Area
6001410400,Alameda County,California,Census Tract 4104,66555,1414,4501,0.15259049,267200,0.062208398,0.396800711,0.083092646,0.434347923,Bay Area
6001410500,Alameda County,California,Census Tract 4105,22596,599,2303,0.124493927,606100,0.055579679,0.624837169,0.185410334,0.082501086,Bay Area
6001420100,Alameda County,California,Census Tract 4201,120208,2065,2432,0.025164114,846600,0.654605263,0.025904605,0.175986842,0.069901316,Bay Area
6001420200,Alameda County,California,Census Tract 4202,89194,1561,3334,0.029275809,672800,0.482903419,0.065386923,0.24625075,0.126574685,Bay Area
6001420300,Alameda County,California,Census Tract 4203,86417,1542,4690,0.020663143,541900,0.391471215,0.051385928,0.364605544,0.104904051,Bay Area
6001420400,Alameda County,California,Census Tract 4204,42054,1700,3301,0.766530612,577254.0644,0.268403514,0.013632233,0.362011512,0.256891851,Bay Area
6001420500,Alameda County,California,Census Tract 4205,89333,1640,2502,0.018145161,666300,0.529176659,0.061550759,0.200239808,0.0931255,Bay Area
6001420600,Alameda County,California,Census Tract 4206,116172,1491,3161,0.022053232,826900,0.694084151,0.006010756,0.146472635,0.107877254,Bay Area
6001421100,Alameda County,California,Census Tract 4211,162308,2816,2123,0.005611672,984700,0.772020725,0.002826189,0.126236458,0.048516251,Bay Area
6001421200,Alameda County,California,Census Tract 4212,144115,1500,3643,0,1054400,0.780400769,0.005489981,0.075761735,0.079055723,Bay Area
6001421300,Alameda County,California,Census Tract 4213,138971,1628,3942,0.008508225,874700,0.779046169,0.03957382,0.089294774,0.029173009,Bay Area
6001421400,Alameda County,California,Census Tract 4214,141375,1808,1690,0.007112376,1.05E+06,0.744970414,0.032544379,0.104142012,0.071597633,Bay Area
6001421500,Alameda County,California,Census Tract 4215,160265,2503,3827,0.035756853,949400,0.8163052,0.026652731,0.072119153,0.041808205,Bay Area
6001421600,Alameda County,California,Census Tract 4216,118750,1764,3510,0.011078717,962900,0.734188034,0.016524217,0.172364672,0.052421652,Bay Area
6001421700,Alameda County,California,Census Tract 4217,69986,1521,3611,0.011289364,852800,0.653558571,0.001384658,0.181113265,0.099695375,Bay Area
6001421800,Alameda County,California,Census Tract 4218,1.10E+05,1691,2130,0.005263158,823900,0.736150235,0.02629108,0.150704225,0.038497653,Bay Area
6001421900,Alameda County,California,Census Tract 4219,100372,1586,3878,0.012035011,640900,0.678184631,0.055183084,0.13898917,0.044094894,Bay Area
6001422000,Alameda County,California,Census Tract 4220,60500,1637,2069,0.4002079,620800,0.60898985,0.162880619,0.062832286,0.137264379,Bay Area
