GEOID,county,medincome,phisp,pblk,mhisp,status
6073008305,San Diego County,42193,0.26301369863013696,0.04452054794520548,Not Majority,Urban
6073008307,San Diego County,92589,0.13311190597853859,0.0201839550332141,Not Majority,Urban
6073008324,San Diego County,171250,0.04760586769997232,0.018267367838361474,Not Majority,Urban
6073003501,San Diego County,37050,0.844796104686549,0.04382227632379793,Majority,Urban
6073017020,San Diego County,143567,0.09224489795918367,0,Not Majority,Urban
6073017501,San Diego County,108977,0.15320910973084886,0.003105590062111801,Not Majority,Urban
6073009703,San Diego County,98625,0.25357756153405836,0.006296508299942759,Not Majority,Urban
6073010012,San Diego County,47750,0.9688401615695326,0.0042315829967301405,Majority,Urban
6073011802,San Diego County,44624,0.7251722740170248,0.016754492636130252,Majority,Urban
6073002705,San Diego County,63565,0.27994193080087104,0.1647713525284297,Not Majority,Urban
6073003211,San Diego County,75708,0.5969057665260197,0.03684950773558369,Majority,Urban
6073006500,San Diego County,58112,0.19976183387913068,0.132182197082465,Not Majority,Urban
6073008511,San Diego County,85966,0.28743235117257965,0.02385247544598116,Not Majority,Urban
6073012700,San Diego County,42421,0.7682826622843056,0.04601479046836483,Majority,Urban
6073018519,San Diego County,63940,0.638478182473855,0.04886404615939416,Majority,Urban
6073019107,San Diego County,80500,0.2656023222060958,0.009192065795839382,Not Majority,Suburban
6073020020,San Diego County,128338,0.27578333121907905,0.036280603831028796,Not Majority,Urban
6073007200,San Diego County,149583,0.14370664023785926,0.012718863561281797,Not Majority,Urban
6073015302,San Diego County,107443,0.14250614250614252,0.02233638597274961,Not Majority,Urban
6073016401,San Diego County,80272,0.2745318352059925,0.016666666666666666,Not Majority,Urban
6073016613,San Diego County,103935,0.15257841573631048,0.012759170653907496,Not Majority,Urban
6085511701,Santa Clara County,250001,0.05874316939890711,0.011839708561020037,Not Majority,Urban
6085512005,Santa Clara County,135298,0.24541587208449464,0.018923280035206103,Not Majority,Urban
6085512100,Santa Clara County,98393,0.5088408644400786,0,Majority,Urban
6085512401,Santa Clara County,103315,0.4319309600862999,0.03646170442286947,Not Majority,Suburban
6085500100,Santa Clara County,104830,0.553214543703347,0.0278112208042379,Majority,Urban
6085500400,Santa Clara County,92284,0.38539706435829885,0.050809183289424166,Not Majority,Urban
6085500500,Santa Clara County,133162,0.20545454545454545,0.03436363636363637,Not Majority,Urban
6085501600,Santa Clara County,62932,0.48950233281493,0.01866251944012442,Not Majority,Urban
6085501800,Santa Clara County,121786,0.43416960398092475,0.016172506738544475,Not Majority,Urban
6085501900,Santa Clara County,76922,0.24199222366228476,0.08035548972412516,Not Majority,Urban
6085502002,Santa Clara County,83580,0.6397884996695308,0.0356906807666887,Majority,Urban
6085502702,Santa Clara County,162933,0.13446073793755914,0.025070955534531692,Not Majority,Urban
6019005514,Fresno County,102161,0.15713932195001237,0.08215788171244741,Not Majority,Urban
6019006402,Fresno County,73239,0.08096437567470313,0.010795250089960417,Not Majority,Rural
6019007002,Fresno County,37760,0.8873153955088003,8.092251669026907e-4,Majority,Suburban
6019007004,Fresno County,58341,0.705659728195424,0.004988818166179253,Majority,Suburban
6019007100,Fresno County,33916,0.9010082493125573,0.008118371088123608,Majority,Suburban
6019005703,Fresno County,95605,0.22908251586843623,0.03885362569724947,Not Majority,Urban
6019005904,Fresno County,94392,0.32103782432010003,0.02047514848390122,Not Majority,Urban
6019006300,Fresno County,78295,0.43825762621553216,0.0043958971626481954,Not Majority,Suburban
6019008200,Fresno County,36968,0.9400118203309693,0.0070921985815602835,Majority,Rural
6019008302,Fresno County,36717,0.9324871725627869,0.04212800432082096,Majority,Suburban
6019008402,Fresno County,50556,0.7816326530612245,0,Majority,Rural
6019005100,Fresno County,27033,0.5537579055743491,0.07824680100014708,Majority,Urban
6019005405,Fresno County,75583,0.36927338589388453,0.010867249094395908,Not Majority,Urban
6019005408,Fresno County,17132,0.32451499118165783,0.06084656084656084,Not Majority,Urban
6085502901,Santa Clara County,122614,0.21887287024901703,0.018676277850589777,Not Majority,Urban
6085503105,Santa Clara County,44545,0.3101626016260163,0,Not Majority,Urban
6085505001,Santa Clara County,149500,0.14994119952959623,0.06771854174833399,Not Majority,Urban
6085505301,Santa Clara County,128800,0.18433711756782759,0.04290937079084087,Not Majority,Urban
6085500200,Santa Clara County,126923,0.3699112079075222,0.06785056123303736,Not Majority,Urban
6085502701,Santa Clara County,122050,0.233810888252149,0.04909264565425024,Not Majority,Urban
6085502903,Santa Clara County,150139,0.198569218870843,0.0017401392111368909,Not Majority,Urban
6085503002,Santa Clara County,146600,0.10671496238506548,0.058233491223181943,Not Majority,Urban
6085503110,Santa Clara County,49844,0.6644295302013423,0.012405938580435224,Majority,Urban
6085503111,Santa Clara County,99423,0.4388152766952455,0.003312548713951676,Not Majority,Urban
6085503113,Santa Clara County,76528,0.770387965162312,0.01405384006334125,Majority,Urban
6085503213,Santa Clara County,72847,0.28,0.0054822335025380715,Not Majority,Urban
6085503214,Santa Clara County,60136,0.3868682097307511,0,Not Majority,Urban
6085503511,Santa Clara County,107098,0.4516574585635359,0.019889502762430938,Not Majority,Urban
6085503602,Santa Clara County,66058,0.6702963227418779,0.026954659050339166,Majority,Urban
6085504101,Santa Clara County,94531,0.7395485770363102,0.008832188420019628,Majority,Urban
6085504316,Santa Clara County,124904,0.12373949579831933,0.03214285714285714,Not Majority,Urban
6085504321,Santa Clara County,108854,0.16415500538213132,0.014352350197344816,Not Majority,Urban
6085504505,Santa Clara County,140772,0.10709133281544779,0.008767062479192098,Not Majority,Urban
6085504803,Santa Clara County,143764,0.19042871385842472,0.020082609314912406,Not Majority,Urban
6085505203,Santa Clara County,128424,0.21277665995975856,0.03051643192488263,Not Majority,Urban
6085505403,Santa Clara County,129359,0.20555936856554563,0.005719514985129261,Not Majority,Urban
6085506102,Santa Clara County,149583,0.08898508898508899,0.030303030303030304,Not Majority,Urban
6085507600,Santa Clara County,199479,0.03359683794466403,0.013115343154868847,Not Majority,Urban
6085507701,Santa Clara County,161571,0.013582342954159592,0.008488964346349746,Not Majority,Urban
6085507808,Santa Clara County,218229,0.017921146953405017,0,Not Majority,Urban
6085500901,Santa Clara County,90822,0.20228734810578985,0.050988801524898736,Not Majority,Urban
6085501501,Santa Clara County,61828,0.6443867618429591,0.03158122431321653,Majority,Urban
6085502101,Santa Clara County,109450,0.22101948435347374,0.03660696713245424,Not Majority,Urban
6067006003,Sacramento County,44879,0.23669354838709677,0.09334677419354839,Not Majority,Urban
6067006101,Sacramento County,35336,0.2314776913630782,0.09271387638149815,Not Majority,Urban
6067006102,Sacramento County,34246,0.21859221859221858,0.14493614493614493,Not Majority,Urban
6019004506,Fresno County,87692,0.11524277811923786,0.027658266748617086,Not Majority,Urban
6019005000,Fresno County,60886,0.46811785400175904,0.0584872471416007,Not Majority,Urban
6019005702,Fresno County,85000,0.24495622382946328,0.011229539398553484,Not Majority,Urban
6019006403,Fresno County,64156,0.2951975086051467,0.005408949352565153,Not Majority,Suburban
6019007600,Fresno County,50335,0.7032529838520946,0.016849988298619237,Majority,Suburban
6019008000,Fresno County,72719,0.5126865671641792,0.01623134328358209,Majority,Suburban
6019008401,Fresno County,36685,0.9075307666252681,0,Majority,Rural
6019004406,Fresno County,62897,0.28115615615615613,0.0533033033033033,Not Majority,Urban
6019004701,Fresno County,37371,0.44474938610429005,0.2100245558283981,Not Majority,Urban
6019005202,Fresno County,21066,0.6124590163934426,0.049836065573770495,Majority,Urban
6019005304,Fresno County,33361,0.5109040074557316,0.04734389561975769,Majority,Urban
6019005305,Fresno County,58726,0.4114583333333333,0.06853070175438597,Not Majority,Urban
6085504317,Santa Clara County,124844,0.11450062682824906,0.0018804847471792729,Not Majority,Urban
6085504410,Santa Clara County,114554,0.18543607112616428,0.03450465707027942,Not Majority,Urban
6085504412,Santa Clara County,82966,0.205007182433819,0.007182433819002668,Not Majority,Urban
6085511400,Santa Clara County,247955,0.05420827389443652,0,Not Majority,Urban
6085509902,Santa Clara County,145089,0.1215609756097561,0.005073170731707317,Not Majority,Urban
6085510700,Santa Clara County,157313,0.026717557251908396,0.04045801526717557,Not Majority,Urban
6085511702,Santa Clara County,244250,0.045920303605313094,0.0018975332068311196,Not Majority,Urban
6085512022,Santa Clara County,84417,0.3342386384211479,0.029694006880318667,Not Majority,Urban
6085512027,Santa Clara County,112422,0.25921325051759836,0.038923395445134575,Not Majority,Urban
6085512032,Santa Clara County,116932,0.3139806473139806,0.016016016016016016,Not Majority,Urban
6085512033,Santa Clara County,116098,0.27114528530959126,0.03955888304330231,Not Majority,Urban
6085512035,Santa Clara County,142019,0.3023964256701868,0.017059301380991064,Not Majority,Urban
6085504314,Santa Clara County,120964,0.17868082499489482,0.013681846028180518,Not Majority,Urban
