fips,oppzone,city,levratio,medincome,phisp,pblk,mhisp
6085501600,Designated Qualified Opportunity Zone,San Jose,3.45,54269,0.407558877,0.051050628,Not Majority
6085503708,Not Designated,San Jose,3.81,71157,0.220952381,0.016380952,Not Majority
6085503602,Not Designated,San Jose,4.04,49796,0.628620427,0.048018293,Majority
6085504317,Not Designated,San Jose,3.74,102404,0.086778551,0.001841998,Not Majority
6085502910,Not Designated,San Jose,3.55,86445,0.251327434,0.009144543,Not Majority
6085503329,Not Designated,San Jose,3.18,170071,0.128804348,0.025815217,Not Majority
6085503208,Not Designated,San Jose,3.88,87917,0.636481242,0.023070289,Majority
6085503116,Not Designated,San Jose,3.19,67197,0.121064468,0.004872564,Not Majority
6085504001,Not Designated,San Jose,3.93,66875,0.746429705,0.015074579,Majority
6085503112,Not Designated,San Jose,3.13,54048,0.500643501,0.034749035,Majority
6085503323,Not Designated,San Jose,3.78,110216,0.339926897,0.049666738,Not Majority
6085502202,Not Designated,San Jose,3.19,104643,0.185355392,0.003676471,Not Majority
6085511915,Not Designated,San Jose,3.52,50781,0.373572594,0.106307776,Not Majority
6085503504,Not Designated,San Jose,4.33,71404,0.732671732,0.002170879,Majority
6085503325,Not Designated,San Jose,3.62,115625,0.209634619,0.009797918,Not Majority
6085504410,Not Designated,San Jose,3.46,87647,0.119057816,0.042184154,Not Majority
6085504316,Not Designated,San Jose,3.45,100536,0.20829476,0.036104425,Not Majority
6085503213,Not Designated,San Jose,3.96,42500,0.329108294,0.003557928,Not Majority
6085501700,Not Designated,San Jose,3.95,39780,0.816720257,0.009043408,Majority
6085506304,Not Designated,San Jose,3.6,78147,0.317085685,0.023430819,Not Majority
6085506305,Not Designated,San Jose,3.14,51161,0.356576629,0.111127422,Not Majority
6085512053,Not Designated,San Jose,3.35,85495,0.344563553,0.076132137,Not Majority
6085506203,Not Designated,San Jose,3.38,89583,0.142878538,0.035045679,Not Majority
6085503509,Not Designated,San Jose,3.8,86181,0.586046512,0.024806202,Majority
6085512019,Not Designated,San Jose,3.51,102595,0.253874388,0.073001631,Not Majority
