"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of households without broadband internet such "
"06067004602, CA","06067004602","=""06067004602""","44.63"
"06067006102, CA","06067006102","=""06067006102""","36.94"
"06067007428, CA","06067007428","=""06067007428""","19.52"
"06067005403, CA","06067005403","=""06067005403""","14.67"
"06067005506, CA","06067005506","=""06067005506""","36.44"
"06067006004, CA","06067006004","=""06067006004""","20.75"
"06067002700, CA","06067002700","=""06067002700""","28.88"
"06067005605, CA","06067005605","=""06067005605""","33.89"
"06067009316, CA","06067009316","=""06067009316""","25.62"
"06067003600, CA","06067003600","=""06067003600""","36.22"
"06067003502, CA","06067003502","=""06067003502""","39.17"
"06067003101, CA","06067003101","=""06067003101""","31.65"
"06067004402, CA","06067004402","=""06067004402""","37.53"
"06067008505, CA","06067008505","=""06067008505""","10.18"
"06067004011, CA","06067004011","=""06067004011""","24.51"
"06067002300, CA","06067002300","=""06067002300""","15.49"
"06067003501, CA","06067003501","=""06067003501""","19.07"
"06067007416, CA","06067007416","=""06067007416""","33.82"
"06067009634, CA","06067009634","=""06067009634""","34.06"
"06067007431, CA","06067007431","=""06067007431""","13.04"
"06067003102, CA","06067003102","=""06067003102""","31.09"
"06067008129, CA","06067008129","=""06067008129""","34.31"
"06067007432, CA","06067007432","=""06067007432""","13.61"
"06067008506, CA","06067008506","=""06067008506""","24.69"
"06067001900, CA","06067001900","=""06067001900""","24.65"
"06067008137, CA","06067008137","=""06067008137""","23.23"
"06067007012, CA","06067007012","=""06067007012""","25.80"
"06067002000, CA","06067002000","=""06067002000""","34.50"
"06067008128, CA","06067008128","=""06067008128""","27.13"
"06067007429, CA","06067007429","=""06067007429""","19.24"
"06067009007, CA","06067009007","=""06067009007""","33.46"
"06067007423, CA","06067007423","=""06067007423""","36.87"
"06067003203, CA","06067003203","=""06067003203""","39.30"
"06067002500, CA","06067002500","=""06067002500""","15.53"
"06067007422, CA","06067007422","=""06067007422""","30.27"
"06067000400, CA","06067000400","=""06067000400""","14.92"
"06067005508, CA","06067005508","=""06067005508""","31.81"
"06067004906, CA","06067004906","=""06067004906""","38.45"
"06067008117, CA","06067008117","=""06067008117""","22.28"
"06067002600, CA","06067002600","=""06067002600""","21.05"
"06067002800, CA","06067002800","=""06067002800""","41.49"
"06067008133, CA","06067008133","=""06067008133""","22.16"
"06067009105, CA","06067009105","=""06067009105""","24.00"
"06067007426, CA","06067007426","=""06067007426""","19.61"
"06067000500, CA","06067000500","=""06067000500""","30.87"
"06067001400, CA","06067001400","=""06067001400""","31.22"
"06067001300, CA","06067001300","=""06067001300""","21.06"
"06067009633, CA","06067009633","=""06067009633""","27.08"
"06067001200, CA","06067001200","=""06067001200""","27.49"
"06067007013, CA","06067007013","=""06067007013""","26.08"
"06067005903, CA","06067005903","=""06067005903""","33.52"
"06067005510, CA","06067005510","=""06067005510""","22.14"
"06067009110, CA","06067009110","=""06067009110""","45.19"
"06067000800, CA","06067000800","=""06067000800""","19.66"
"06067008911, CA","06067008911","=""06067008911""","35.20"
"06067000700, CA","06067000700","=""06067000700""","68.06"
"06067000600, CA","06067000600","=""06067000600""","38.44"
"06067005509, CA","06067005509","=""06067005509""","22.64"

"Location: Sacramento (County, 2010)"

"Census Tract Boundary Year: 2010"

"Indicator source: Census"
"http://www.policymap.com/our-data-directory.html#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
