GEOID,NAME,phisp,asnp,blkp,whtp
06037402301,"Census Tract 4023.01, Los Angeles County, California",0.7886456908344733,0.0661764705882353,0.027701778385772913,0.09422024623803009
06037402303,"Census Tract 4023.03, Los Angeles County, California",0.7725841608137564,0.015257931702591427,0.02542988617098571,0.1707435214337612
06037402304,"Census Tract 4023.04, Los Angeles County, California",0.887481734047735,0.012664393570384803,0.040672187043351196,0.053093034583536286
06037402402,"Census Tract 4024.02, Los Angeles County, California",0.689522342064715,0.09060092449922959,0.035130970724191066,0.14468412942989214
06037402403,"Census Tract 4024.03, Los Angeles County, California",0.5899573837317028,0.11191402631091348,0.04446914952751529,0.21456364647026124
06037402404,"Census Tract 4024.04, Los Angeles County, California",0.26156141223272006,0.2695176529090005,0.05320735952262556,0.31327697662854304
06037402405,"Census Tract 4024.05, Los Angeles County, California",0.7967479674796748,0.0535230352303523,0.10873983739837398,0.0037262872628726286
06037402406,"Census Tract 4024.06, Los Angeles County, California",0.8438544739429695,0.04660766961651917,0.06588003933136677,0.03087512291052114
06037402501,"Census Tract 4025.01, Los Angeles County, California",0.8839254308828702,0.04396763981709462,0.023742525501231095,0.039570875835385155
06037402502,"Census Tract 4025.02, Los Angeles County, California",0.7919719169719169,0.10302197802197802,0.027167277167277168,0.06883394383394384
06037402600,"Census Tract 4026, Los Angeles County, California",0.629805675940165,0.05857682091430169,0.047812106808332165,0.24605060813644625
06037402702,"Census Tract 4027.02, Los Angeles County, California",0.8451113262342691,0.00968054211035818,0.08647950951919975,0.055501774766053565
06037402703,"Census Tract 4027.03, Los Angeles County, California",0.6755218216318786,0.07674467636516973,0.09550917141049968,0.13282732447817835
06037402705,"Census Tract 4027.05, Los Angeles County, California",0.7071528751753156,0.04319775596072931,0.0482468443197756,0.19046283309957923
06037402706,"Census Tract 4027.06, Los Angeles County, California",0.728134110787172,0.1282798833819242,0.08284742468415938,0.05928085519922255
06037402801,"Census Tract 4028.01, Los Angeles County, California",0.9287365177195686,0.0211864406779661,0.00423728813559322,0.030046224961479198
06037402803,"Census Tract 4028.03, Los Angeles County, California",0.8858404288867865,0.055502995900346894,0.020182907600126143,0.029959003468937245
06037402804,"Census Tract 4028.04, Los Angeles County, California",0.7988681914642773,0.12284838481490215,0.034425842961565666,0.0370195708559302
06037402902,"Census Tract 4029.02, Los Angeles County, California",0.7808770883054893,0.10381861575178998,0.057130071599045346,0.04087112171837709
06037402903,"Census Tract 4029.03, Los Angeles County, California",0.7961312758096066,0.1008476418169963,0.026733318843729623,0.03825255379265377
06037402904,"Census Tract 4029.04, Los Angeles County, California",0.8683849739511927,0.02495201535508637,0.0010967918837400603,0.08966273649574993
06037403000,"Census Tract 4030, Los Angeles County, California",0.8637757336837495,0.06292889472915754,0.035187618630457,0.022193020878960433
06037403200,"Census Tract 4032, Los Angeles County, California",0.18093922651933703,0.1712707182320442,0.18370165745856354,0.4544198895027624
06037403303,"Census Tract 4033.03, Los Angeles County, California",0.30886524822695033,0.47907801418439716,0.014893617021276596,0.18049645390070923
06037403304,"Census Tract 4033.04, Los Angeles County, California",0.16613735609368796,0.6224692338229456,0.01647479158396189,0.16077808654227868
06037403305,"Census Tract 4033.05, Los Angeles County, California",0.11449717022202874,0.6861123204179365,0.011754462342185459,0.12363952982150632
06037403312,"Census Tract 4033.12, Los Angeles County, California",0.3249642784241682,0.36272708716064506,0.06042049397836293,0.22780159216166565
06037403316,"Census Tract 4033.16, Los Angeles County, California",0.1870977179637215,0.435927442949093,0.06963136337039204,0.283499122293739
06037403317,"Census Tract 4033.17, Los Angeles County, California",0.29620090148100453,0.2719467696930672,0.197467267654003,0.19188667095943335
06037403318,"Census Tract 4033.18, Los Angeles County, California",0.32685732048492383,0.2830276655268884,0.09107864470003109,0.22800746036680136
06037403319,"Census Tract 4033.19, Los Angeles County, California",0.215,0.44522727272727275,0.11681818181818182,0.15477272727272728
06037403320,"Census Tract 4033.20, Los Angeles County, California",0.16882614581318894,0.681106169019532,0.01798491587700638,0.11448462579771804
06037403321,"Census Tract 4033.21, Los Angeles County, California",0.32260548198336925,0.3871265783800431,0.0351093316907915,0.18925161687711733
06037403322,"Census Tract 4033.22, Los Angeles County, California",0.20114942528735633,0.4835082458770615,0.012993503248375811,0.2708645677161419
06037403323,"Census Tract 4033.23, Los Angeles County, California",0.09249304911955514,0.6843373493975904,0.015755329008341055,0.18072289156626506
06037403324,"Census Tract 4033.24, Los Angeles County, California",0.12278647738914093,0.6064686082247914,0.02048880433191863,0.19566808136982292
06037403325,"Census Tract 4033.25, Los Angeles County, California",0.19707883153261305,0.4913965586234494,0.03221288515406162,0.2507002801120448
06037403401,"Census Tract 4034.01, Los Angeles County, California",0.33728874505573536,0.5219345559151385,0.03559870550161812,0.09187342682488314
06037403402,"Census Tract 4034.02, Los Angeles County, California",0.22852330151600225,0.5460415496911847,0.03172375070185289,0.1558113419427288
06037403403,"Census Tract 4034.03, Los Angeles County, California",0.15096668037844507,0.7250102838338133,0.02653229123817359,0.0853558206499383
06037403404,"Census Tract 4034.04, Los Angeles County, California",0.11022727272727273,0.7022727272727273,0.027651515151515153,0.12613636363636363
06037403405,"Census Tract 4034.05, Los Angeles County, California",0.14622641509433962,0.6515330188679245,0,0.15271226415094338
06037403406,"Census Tract 4034.06, Los Angeles County, California",0.2496626180836707,0.5387989203778677,0.02834008097165992,0.17408906882591094
06037403407,"Census Tract 4034.07, Los Angeles County, California",0.11983082706766918,0.7608082706766918,0.006109022556390977,0.09680451127819549
06037403408,"Census Tract 4034.08, Los Angeles County, California",0.18542044767090138,0.660768300060496,0.04582577132486389,0.07032667876588022
06037403500,"Census Tract 4035, Los Angeles County, California",0.2952433023510115,0.3920174958993986,0.01038819026790596,0.2799343903772553
06037403600,"Census Tract 4036, Los Angeles County, California",0.4678354305103916,0.16612469956171355,0.01795560582496819,0.32009048494274
06037403702,"Census Tract 4037.02, Los Angeles County, California",0.4837133550488599,0.08876221498371335,0.039359391965255154,0.3566775244299674
06037403703,"Census Tract 4037.03, Los Angeles County, California",0.445291572223367,0.14630125695446117,0.020811868947043066,0.3698743045538842
06037403721,"Census Tract 4037.21, Los Angeles County, California",0.5015531165872852,0.112238558707807,0.019051563470697867,0.35017601987989233
06037403722,"Census Tract 4037.22, Los Angeles County, California",0.6891296986115815,0.09685066034541144,0.030985438537080936,0.17913985777175753
06037403801,"Census Tract 4038.01, Los Angeles County, California",0.5321445330830596,0.1351478179258564,0.059909275770373846,0.25089942124198344
06037403802,"Census Tract 4038.02, Los Angeles County, California",0.576723858853998,0.11152476529621237,0.02395597280673357,0.24732923276141147
06037403901,"Census Tract 4039.01, Los Angeles County, California",0.5417647058823529,0.07470588235294118,0.028529411764705883,0.32794117647058824
06037403902,"Census Tract 4039.02, Los Angeles County, California",0.38313548915268114,0.07265656979124027,0.040319279574293904,0.4559967253376995
06037404000,"Census Tract 4040, Los Angeles County, California",0.6423895253682488,0.12786415711947627,0.015752864157119476,0.20192307692307693
06037404100,"Census Tract 4041, Los Angeles County, California",0.8438895089285714,0.0517578125,0.026785714285714284,0.07184709821428571
06037404201,"Census Tract 4042.01, Los Angeles County, California",0.7220584293755026,0.08710801393728224,0.01876172607879925,0.15465022782095952
06037404202,"Census Tract 4042.02, Los Angeles County, California",0.5416142821222026,0.10309278350515463,0.022127231581594166,0.2919285893889867
06037404301,"Census Tract 4043.01, Los Angeles County, California",0.8108867427568042,0.07462686567164178,0.014047410008779631,0.08252853380158033
06037404302,"Census Tract 4043.02, Los Angeles County, California",0.7562414888788016,0.08942351339083068,0.017703132092601,0.11257376305038584
06037404401,"Census Tract 4044.01, Los Angeles County, California",0.8483533316313505,0.03089098800102119,0.008169517487873373,0.10850140413581823
06037404402,"Census Tract 4044.02, Los Angeles County, California",0.7430379746835443,0.11244725738396624,0.002531645569620253,0.10864978902953587
06037404501,"Census Tract 4045.01, Los Angeles County, California",0.8286868686868687,0.018585858585858588,0.041616161616161614,0.0694949494949495
06037404503,"Census Tract 4045.03, Los Angeles County, California",0.7847429519071311,0.1111111111111111,0.014593698175787729,0.07296849087893864
06037404504,"Census Tract 4045.04, Los Angeles County, California",0.8209680828577468,0.08433734939759036,0.029592052420207144,0.055590784189389134
06037404600,"Census Tract 4046, Los Angeles County, California",0.9476876421531463,0.006065200909780136,0,0.04624715693707354
06037404701,"Census Tract 4047.01, Los Angeles County, California",0.7973945834761742,0.1823791566678094,0.002571134727459719,0.017655125128556735
06037404702,"Census Tract 4047.02, Los Angeles County, California",0.6598942847703997,0.28856954079947145,0.02956722827882392,0.019986785596299968
06037404703,"Census Tract 4047.03, Los Angeles County, California",0.8944636678200693,0.07554786620530565,0,0.029988465974625143
06037404801,"Census Tract 4048.01, Los Angeles County, California",0.7444911476245064,0.18137816838619283,0.02088905871863457,0.04330658514838874
06037404802,"Census Tract 4048.02, Los Angeles County, California",0.6303109943057381,0.2233902759526938,0.06548401226456417,0.0173017958826106
06037404803,"Census Tract 4048.03, Los Angeles County, California",0.7992013690815745,0.10211066742726754,0,0.08727895037079293
06037404901,"Census Tract 4049.01, Los Angeles County, California",0.771358543417367,0.16526610644257703,0.042717086834733894,0.01803221288515406
06037404902,"Census Tract 4049.02, Los Angeles County, California",0.7059235074626866,0.2581623134328358,0,0.03404850746268657
06037404903,"Census Tract 4049.03, Los Angeles County, California",0.7143826322930801,0.23778833107191316,0.006445047489823609,0.041383989145183174
06037405001,"Census Tract 4050.01, Los Angeles County, California",0.85793327908869,0.10886899918633035,0.003091944670463792,0.027339300244100896
06037405002,"Census Tract 4050.02, Los Angeles County, California",0.8705591597157862,0.10163731850478838,0,0.027803521779425393
06037405101,"Census Tract 4051.01, Los Angeles County, California",0.7599394168875426,0.1363120030291556,0.008519500189322226,0.08008330177962893
06037405102,"Census Tract 4051.02, Los Angeles County, California",0.6670406102759704,0.21000673098496747,0.04666816244110388,0.07022660982723805
06037405201,"Census Tract 4052.01, Los Angeles County, California",0.7628657921291625,0.1598385469223007,0.033703329969727545,0.026639757820383452
06037405202,"Census Tract 4052.02, Los Angeles County, California",0.7781853281853282,0.14594594594594595,0.008494208494208495,0.023552123552123553
06037405203,"Census Tract 4052.03, Los Angeles County, California",0.6985198649701376,0.18462736951441183,0.00882887561672293,0.08621137366917683
06037405301,"Census Tract 4053.01, Los Angeles County, California",0.7666493236212278,0.12851196670135276,0.022112382934443287,0.07622268470343392
06037405302,"Census Tract 4053.02, Los Angeles County, California",0.671719641401793,0.1830480847595762,0.019722901385493073,0.1145884270578647
06037405400,"Census Tract 4054, Los Angeles County, California",0.8027985074626866,0.04533582089552239,0,0.1326492537313433
06037405500,"Census Tract 4055, Los Angeles County, California",0.5848247300695163,0.18488389291524923,0.025440023665138294,0.1646206182517379
06037405600,"Census Tract 4056, Los Angeles County, California",0.647120972002113,0.17397429124845923,0.009332628983976052,0.16340905088924107
06037405701,"Census Tract 4057.01, Los Angeles County, California",0.6828716789146411,0.08027133973996609,0.009609949123798756,0.1953080836630865
06037405702,"Census Tract 4057.02, Los Angeles County, California",0.6147331101043924,0.17805790821351192,0.06204451447705338,0.12428599566673232
06037405800,"Census Tract 4058, Los Angeles County, California",0.6479493046998768,0.08924485125858124,0.015842281288505546,0.2325294842457314
06037405900,"Census Tract 4059, Los Angeles County, California",0.666054082436335,0.11997899711210291,0.044106064583880285,0.1425571016014702
06037406000,"Census Tract 4060, Los Angeles County, California",0.6512128325508607,0.07316118935837246,0.018583724569640064,0.24980438184663536
06037406101,"Census Tract 4061.01, Los Angeles County, California",0.5822858813212511,0.0695703010815551,0.08593978368897984,0.205495469161064
06037406102,"Census Tract 4061.02, Los Angeles County, California",0.5961438249088067,0.09310404724682994,0.0297029702970297,0.25499392044467606
06037406200,"Census Tract 4062, Los Angeles County, California",0.5932320441988951,0.1534875690607735,0.06284530386740332,0.17075276243093923
06037406300,"Census Tract 4063, Los Angeles County, California",0.36310502283105023,0.40876712328767123,0.025753424657534246,0.18812785388127853
06037406402,"Census Tract 4064.02, Los Angeles County, California",0.7014157014157014,0.05405405405405406,0.012441012441012441,0.2054912054912055
06037406411,"Census Tract 4064.11, Los Angeles County, California",0.5898418782942022,0.24149496885481553,0.0028749401054144704,0.16291327264015332
06037406412,"Census Tract 4064.12, Los Angeles County, California",0.5208500400962309,0.2028869286287089,0.03929430633520449,0.2285485164394547
06037406500,"Census Tract 4065, Los Angeles County, California",0.5854601701469451,0.19489559164733178,0.045784996133023975,0.1554524361948956
06037406601,"Census Tract 4066.01, Los Angeles County, California",0.5623167155425219,0.16440615835777125,0.06818181818181818,0.19593108504398826
06037406602,"Census Tract 4066.02, Los Angeles County, California",0.6775199168687218,0.20228611014894354,0.013335642535503983,0.10183581572566679
06037406701,"Census Tract 4067.01, Los Angeles County, California",0.5897435897435898,0.20005963029218843,0.03875968992248062,0.09063804412641623
06037406702,"Census Tract 4067.02, Los Angeles County, California",0.5992211310531663,0.20707754825601082,0.028953606501862513,0.12597358618354215
06037406800,"Census Tract 4068, Los Angeles County, California",0.5609504132231405,0.27045454545454545,0.01652892561983471,0.13161157024793388
