GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,TDPE001,TDPE002,TDPE003,TDPE004,TDPE005,TDPE006,TDPE007,TDPE008,TDPE009,TDPE010,TXBE001,T76E001,NAME_M,TDPM001,TDPM002,TDPM003,TDPM004,TDPM005,TDPM006,TDPM007,TDPM008,TDPM009,TDPM010,TXBM001,T76M001
"G1301770","2011-2013",,,"Georgia","13","Lee County","177",,,,,,,,,,,,,,,,,"Lee County, Georgia",28800,21669,5806,24,639,0,326,336,25,311,60004,155300,"Lee County, Georgia",0,196,153,40,107,125,195,211,44,213,5733,13696
"G1301790","2011-2013",,,"Georgia","13","Liberty County","179",,,,,,,,,,,,,,,,,"Liberty County, Georgia",64919,30940,26230,296,1351,241,3139,2722,257,2465,42826,124800,"Liberty County, Georgia",0,640,550,90,192,159,633,526,181,484,2166,7904
"G1301850","2011-2013",,,"Georgia","13","Lowndes County","185",,,,,,,,,,,,,,,,,"Lowndes County, Georgia",113129,64969,41038,87,1759,45,2127,3104,675,2429,35950,134900,"Lowndes County, Georgia",0,601,598,49,217,48,637,677,343,584,1328,5700
"G1301870","2011-2013",,,"Georgia","13","Lumpkin County","187",,,,,,,,,,,,,,,,,"Lumpkin County, Georgia",30702,28966,750,113,111,0,228,534,92,442,41155,151400,"Lumpkin County, Georgia",0,326,453,112,130,125,188,352,159,325,4813,11590
"G1301890","2011-2013",,,"Georgia","13","McDuffie County","189",,,,,,,,,,,,,,,,,"McDuffie County, Georgia",,,,,,,,,,,39935,108300,"McDuffie County, Georgia",,,,,,,,,,,4074,11789
"G1301950","2011-2013",,,"Georgia","13","Madison County","195",,,,,,,,,,,,,,,,,"Madison County, Georgia",28002,24035,2387,168,275,0,854,283,82,201,41022,122100,"Madison County, Georgia",0,222,171,125,21,125,236,165,69,144,3334,9747
"G1301990","2011-2013",,,"Georgia","13","Meriwether County","199",,,,,,,,,,,,,,,,,"Meriwether County, Georgia",21393,12321,8627,0,89,0,97,259,6,253,35434,87700,"Meriwether County, Georgia",0,110,142,125,90,125,85,111,11,110,3129,8583
"G1302050","2011-2013",,,"Georgia","13","Mitchell County","205",,,,,,,,,,,,,,,,,"Mitchell County, Georgia",,,,,,,,,,,29545,78100,"Mitchell County, Georgia",,,,,,,,,,,2868,13986
"G1302070","2011-2013",,,"Georgia","13","Monroe County","207",,,,,,,,,,,,,,,,,"Monroe County, Georgia",26793,19657,6542,43,148,0,45,358,169,189,47577,142600,"Monroe County, Georgia",0,150,219,56,109,125,64,226,191,133,4234,18394
"G1302130","2011-2013",,,"Georgia","13","Murray County","213",,,,,,,,,,,,,,,,,"Murray County, Georgia",39362,37237,401,14,15,0,847,848,68,780,33440,89900,"Murray County, Georgia",0,513,190,18,34,125,498,271,75,267,3166,6265
"G1302150","2011-2013",,,"Georgia","13","Muscogee County","215",,,,,,,,,,,,,,,,,"Muscogee County, Georgia",198498,91467,89223,544,4470,167,5030,7597,964,6633,41170,131000,"Muscogee County, Georgia",0,1028,1094,202,409,139,915,1288,438,1168,1741,3163
"G1302170","2011-2013",,,"Georgia","13","Newton County","217",,,,,,,,,,,,,,,,,"Newton County, Georgia",101497,55674,42048,239,1210,6,366,1954,60,1894,49114,113700,"Newton County, Georgia",0,656,716,322,50,10,324,578,75,571,2339,5475
"G1302190","2011-2013",,,"Georgia","13","Oconee County","219",,,,,,,,,,,,,,,,,"Oconee County, Georgia",33602,29883,1888,45,1261,0,20,505,31,474,68149,231800,"Oconee County, Georgia",0,340,438,53,72,125,23,234,35,227,7148,11682
"G1302230","2011-2013",,,"Georgia","13","Paulding County","223",,,,,,,,,,,,,,,,,"Paulding County, Georgia",145229,115097,25798,286,1129,47,377,2495,371,2124,58497,126300,"Paulding County, Georgia",0,518,578,167,359,79,247,622,328,501,2580,5286
"G1302250","2011-2013",,,"Georgia","13","Peach County","225",,,,,,,,,,,,,,,,,"Peach County, Georgia",27384,12700,12784,0,280,9,1379,232,36,196,42732,122300,"Peach County, Georgia",0,302,188,125,24,19,339,122,60,99,7065,8945
"G1302270","2011-2013",,,"Georgia","13","Pickens County","227",,,,,,,,,,,,,,,,,"Pickens County, Georgia",,,,,,,,,,,51362,171300,"Pickens County, Georgia",,,,,,,,,,,6740,10256
"G1302330","2011-2013",,,"Georgia","13","Polk County","233",,,,,,,,,,,,,,,,,"Polk County, Georgia",41209,31663,5524,14,340,0,3235,433,160,273,38093,108600,"Polk County, Georgia",0,923,206,19,125,125,976,205,138,109,2631,10749
"G1302370","2011-2013",,,"Georgia","13","Putnam County","237",,,,,,,,,,,,,,,,,"Putnam County, Georgia",,,,,,,,,,,44549,137600,"Putnam County, Georgia",,,,,,,,,,,4606,28662
"G1302450","2011-2013",,,"Georgia","13","Richmond County","245",,,,,,,,,,,,,,,,,"Richmond County, Georgia",201960,79765,110461,645,3293,483,1847,5466,707,4759,37023,103000,"Richmond County, Georgia",0,666,944,187,220,42,534,839,293,779,1387,3450
"G1302470","2011-2013",,,"Georgia","13","Rockdale County","247",,,,,,,,,,,,,,,,,"Rockdale County, Georgia",86070,39378,41669,66,1656,0,2344,957,143,814,50497,136100,"Rockdale County, Georgia",0,853,504,68,145,125,939,398,120,358,1728,7657
"G1302550","2011-2013",,,"Georgia","13","Spalding County","255",,,,,,,,,,,,,,,,,"Spalding County, Georgia",63947,40231,21032,239,613,0,884,948,221,727,40362,107100,"Spalding County, Georgia",0,501,396,151,90,125,474,465,169,414,2548,5734
"G1302570","2011-2013",,,"Georgia","13","Stephens County","257",,,,,,,,,,,,,,,,,"Stephens County, Georgia",25774,21674,3340,82,204,0,89,385,0,385,38003,102300,"Stephens County, Georgia",0,193,394,77,179,125,116,312,125,312,5941,8301
"G1302610","2011-2013",,,"Georgia","13","Sumter County","261",,,,,,,,,,,,,,,,,"Sumter County, Georgia",31686,13582,16083,10,505,0,726,780,176,604,31310,88700,"Sumter County, Georgia",0,314,652,18,513,125,285,508,153,441,4272,6707
"G1302670","2011-2013",,,"Georgia","13","Tattnall County","267",,,,,,,,,,,,,,,,,"Tattnall County, Georgia",25385,15607,7400,117,44,0,1636,581,391,190,34063,86600,"Tattnall County, Georgia",0,407,186,124,52,125,536,348,331,142,7050,14364
"G1302750","2011-2013",,,"Georgia","13","Thomas County","275",,,,,,,,,,,,,,,,,"Thomas County, Georgia",44676,26349,16532,20,357,0,898,520,0,520,34211,122600,"Thomas County, Georgia",0,236,174,31,72,125,250,155,125,155,4323,8041
"G1302770","2011-2013",,,"Georgia","13","Tift County","277",,,,,,,,,,,,,,,,,"Tift County, Georgia",40893,25455,11913,46,622,0,2102,755,73,682,33640,121700,"Tift County, Georgia",0,736,567,70,8,125,762,375,100,340,3311,12309
"G1302790","2011-2013",,,"Georgia","13","Toombs County","279",,,,,,,,,,,,,,,,,"Toombs County, Georgia",27251,18428,6780,13,362,0,940,728,346,382,30723,90100,"Toombs County, Georgia",0,532,559,23,501,125,540,452,346,325,3107,11753
"G1302850","2011-2013",,,"Georgia","13","Troup County","285",,,,,,,,,,,,,,,,,"Troup County, Georgia",68433,41628,23280,57,1144,12,1085,1227,85,1142,40830,111500,"Troup County, Georgia",0,509,320,82,132,18,504,398,89,390,2650,6950
"G1302910","2011-2013",,,"Georgia","13","Union County","291",,,,,,,,,,,,,,,,,"Union County, Georgia",21447,20610,104,0,264,0,299,170,0,170,39420,185100,"Union County, Georgia",0,219,62,125,177,125,219,169,125,169,4318,21267
"G1302930","2011-2013",,,"Georgia","13","Upson County","293",,,,,,,,,,,,,,,,,"Upson County, Georgia",,,,,,,,,,,31846,82200,"Upson County, Georgia",,,,,,,,,,,3946,6248
"G1302950","2011-2013",,,"Georgia","13","Walker County","295",,,,,,,,,,,,,,,,,"Walker County, Georgia",68299,63149,3022,368,242,0,449,1069,254,815,40017,100600,"Walker County, Georgia",0,301,258,122,105,125,390,396,219,302,2975,6520
"G1302970","2011-2013",,,"Georgia","13","Walton County","297",,,,,,,,,,,,,,,,,"Walton County, Georgia",84851,67968,12858,57,1177,79,798,1914,458,1456,52235,150800,"Walton County, Georgia",0,670,619,76,130,90,662,638,561,416,3172,6139
"G1302990","2011-2013",,,"Georgia","13","Ware County","299",,,,,,,,,,,,,,,,,"Ware County, Georgia",35896,23797,10826,51,379,23,639,181,15,166,32043,77800,"Ware County, Georgia",0,259,190,64,8,37,275,153,28,152,2700,7004
"G1303030","2011-2013",,,"Georgia","13","Washington County","303",,,,,,,,,,,,,,,,,"Washington County, Georgia",20851,9314,11231,0,80,0,39,187,3,184,35483,81100,"Washington County, Georgia",0,108,215,125,70,125,40,143,5,143,5714,6382
"G1303050","2011-2013",,,"Georgia","13","Wayne County","305",,,,,,,,,,,,,,,,,"Wayne County, Georgia",30267,22319,6596,61,2,0,717,572,323,249,35787,81300,"Wayne County, Georgia",0,421,140,97,4,125,280,303,304,126,2196,10392
"G1303110","2011-2013",,,"Georgia","13","White County","311",,,,,,,,,,,,,,,,,"White County, Georgia",,,,,,,,,,,39444,165300,"White County, Georgia",,,,,,,,,,,6622,13476
"G1303130","2011-2013",,,"Georgia","13","Whitfield County","313",,,,,,,,,,,,,,,,,"Whitfield County, Georgia",103003,90766,3857,344,1200,0,4313,2523,506,2017,37956,117000,"Whitfield County, Georgia",0,1476,264,389,238,125,1222,681,284,601,2132,5569
"G1303210","2011-2013",,,"Georgia","13","Worth County","321",,,,,,,,,,,,,,,,,"Worth County, Georgia",,,,,,,,,,,34605,71200,"Worth County, Georgia",,,,,,,,,,,2626,6601
"G1500010","2011-2013",,,"Hawaii","15","Hawaii County","001",,,,,,,,,,,,,,,,,"Hawaii County, Hawaii",188761,62614,1285,657,41152,24129,5137,53787,1444,52343,49020,293300,"Hawaii County, Hawaii",0,966,393,256,2174,1913,1583,3129,444,3099,2486,9096
"G1500030","2011-2013",,,"Hawaii","15","Honolulu County","003",,,,,,,,,,,,,,,,,"Honolulu County, Hawaii",974683,209803,24946,1880,419718,90325,9623,218388,8184,210204,71728,561000,"Honolulu County, Hawaii",0,1926,1003,350,4570,2865,1246,5722,1412,5661,900,4921
"G1500070","2011-2013",,,"Hawaii","15","Kauai County","007",,,,,,,,,,,,,,,,,"Kauai County, Hawaii",68546,23129,430,111,24393,6666,383,13434,396,13038,61437,468700,"Kauai County, Hawaii",0,524,145,57,1161,371,239,1255,254,1266,3078,13875
"G1500090","2011-2013",,,"Hawaii","15","Maui County","009",,,,,,,,,,,,,,,,,"Maui County, Hawaii",158269,54605,785,305,42289,16362,1130,42793,1049,41744,63202,489000,"Maui County, Hawaii",29,921,194,154,1924,1072,385,2391,527,2354,2355,12111
"G1600010","2011-2013",,,"Idaho","16","Ada County","001",,,,,,,,,,,,,,,,,"Ada County, Idaho",408785,373616,3833,2133,10713,705,6113,11672,984,10688,53147,173600,"Ada County, Idaho",0,1571,736,613,852,321,1624,1442,337,1407,1448,2592
"G1600050","2011-2013",,,"Idaho","16","Bannock County","005",,,,,,,,,,,,,,,,,"Bannock County, Idaho",83487,75509,553,2691,1069,33,1226,2406,185,2221,42610,145500,"Bannock County, Idaho",0,536,160,313,194,40,490,428,210,406,1786,4000
"G1600110","2011-2013",,,"Idaho","16","Bingham County","011",,,,,,,,,,,,,,,,,"Bingham County, Idaho",45534,39968,133,2238,284,24,1673,1214,87,1127,49846,137800,"Bingham County, Idaho",0,598,31,296,86,30,557,303,98,298,2923,6728
"G1600130","2011-2013",,,"Idaho","16","Blaine County","013",,,,,,,,,,,,,,,,,"Blaine County, Idaho",,,,,,,,,,,63083,361300,"Blaine County, Idaho",,,,,,,,,,,7791,37909
"G1600170","2011-2013",,,"Idaho","16","Bonner County","017",,,,,,,,,,,,,,,,,"Bonner County, Idaho",40660,38953,154,178,233,74,148,920,53,867,41064,215900,"Bonner County, Idaho",0,144,132,105,90,95,126,162,49,163,2269,14459
"G1600190","2011-2013",,,"Idaho","16","Bonneville County","019",,,,,,,,,,,,,,,,,"Bonneville County, Idaho",106737,97092,608,480,816,85,4871,2785,709,2076,49716,152400,"Bonneville County, Idaho",0,1159,211,230,196,56,1058,537,370,347,1762,3355
"G1600270","2011-2013",,,"Idaho","16","Canyon County","027",,,,,,,,,,,,,,,,,"Canyon County, Idaho",194687,178814,896,1248,1573,184,6365,5607,1109,4498,41451,112100,"Canyon County, Idaho",0,1809,265,397,282,168,1742,709,431,683,1066,3234
"G1600310","2011-2013",,,"Idaho","16","Cassia County","031",,,,,,,,,,,,,,,,,"Cassia County, Idaho",23241,21289,106,117,46,0,1328,355,0,355,43274,132700,"Cassia County, Idaho",0,520,77,93,41,110,519,122,110,122,2883,11527
"G1600390","2011-2013",,,"Idaho","16","Elmore County","039",,,,,,,,,,,,,,,,,"Elmore County, Idaho",26257,22048,556,328,965,10,1577,773,37,736,41997,136000,"Elmore County, Idaho",0,796,135,149,137,16,793,242,53,232,2405,11639
"G1600510","2011-2013",,,"Idaho","16","Jefferson County","051",,,,,,,,,,,,,,,,,"Jefferson County, Idaho",26650,24776,65,158,2,186,924,539,260,279,50184,156200,"Jefferson County, Idaho",0,372,72,105,5,158,217,257,253,87,3690,9012
"G1600530","2011-2013",,,"Idaho","16","Jerome County","053",,,,,,,,,,,,,,,,,"Jerome County, Idaho",,,,,,,,,,,40552,131800,"Jerome County, Idaho",,,,,,,,,,,3261,7978
"G1600550","2011-2013",,,"Idaho","16","Kootenai County","055",,,,,,,,,,,,,,,,,"Kootenai County, Idaho",142541,134757,446,2215,1569,96,628,2830,125,2705,49481,174800,"Kootenai County, Idaho",0,612,142,519,433,88,387,643,112,634,2389,4663
"G1600570","2011-2013",,,"Idaho","16","Latah County","057",,,,,,,,,,,,,,,,,"Latah County, Idaho",37988,35593,163,159,776,18,124,1155,16,1139,42090,187800,"Latah County, Idaho",0,126,132,121,143,22,90,226,23,226,3155,9534
"G1600650","2011-2013",,,"Idaho","16","Madison County","065",,,,,,,,,,,,,,,,,"Madison County, Idaho",37664,35940,277,0,355,162,342,588,46,542,31049,167000,"Madison County, Idaho",0,352,58,110,151,126,332,156,52,138,2243,6023
"G1600670","2011-2013",,,"Idaho","16","Minidoka County","067",,,,,,,,,,,,,,,,,"Minidoka County, Idaho",20182,17483,92,89,149,11,1826,532,66,466,43750,110900,"Minidoka County, Idaho",0,782,114,85,138,20,719,278,75,274,2035,6144
"G1600690","2011-2013",,,"Idaho","16","Nez Perce County","069",,,,,,,,,,,,,,,,,"Nez Perce County, Idaho",39641,35727,118,2084,422,0,105,1185,58,1127,45645,166700,"Nez Perce County, Idaho",0,172,67,217,64,110,82,275,41,272,3416,4910
"G1600750","2011-2013",,,"Idaho","16","Payette County","075",,,,,,,,,,,,,,,,,"Payette County, Idaho",22613,20905,38,202,86,19,610,753,153,600,42669,128100,"Payette County, Idaho",0,418,58,130,105,30,348,217,125,179,3589,10159
"G1600830","2011-2013",,,"Idaho","16","Twin Falls County","083",,,,,,,,,,,,,,,,,"Twin Falls County, Idaho",78846,73212,406,1080,1182,14,1882,1070,196,874,42702,146700,"Twin Falls County, Idaho",0,721,109,387,314,24,579,363,197,283,2698,5870
"G1700010","2011-2013",,,"Illinois","17","Adams County","001",,,,,,,,,,,,,,,,,"Adams County, Illinois",67185,62634,2492,127,544,0,477,911,5,906,44170,106900,"Adams County, Illinois",0,212,274,98,58,107,224,298,8,298,1927,3862
"G1700070","2011-2013",,,"Illinois","17","Boone County","007",,,,,,,,,,,,,,,,,"Boone County, Illinois",54013,47743,1426,35,713,0,3058,1038,548,490,59307,145600,"Boone County, Illinois",0,1278,261,51,124,107,1299,573,478,311,4566,9461
"G1700110","2011-2013",,,"Illinois","17","Bureau County","011",,,,,,,,,,,,,,,,,"Bureau County, Illinois",34336,33113,167,128,219,6,269,434,72,362,48808,100900,"Bureau County, Illinois",0,146,93,26,30,9,99,134,73,110,1870,4406
"G1700190","2011-2013",,,"Illinois","17","Champaign County","019",,,,,,,,,,,,,,,,,"Champaign County, Illinois",203586,151408,25036,282,19404,24,1513,5919,343,5576,44598,147700,"Champaign County, Illinois",0,619,785,122,429,34,549,910,148,921,2186,3486
"G1700210","2011-2013",,,"Illinois","17","Christian County","021",,,,,,,,,,,,,,,,,"Christian County, Illinois",,,,,,,,,,,45786,84000,"Christian County, Illinois",,,,,,,,,,,2567,2671
"G1700270","2011-2013",,,"Illinois","17","Clinton County","027",,,,,,,,,,,,,,,,,"Clinton County, Illinois",38050,35813,1284,52,199,0,187,515,33,482,63803,130500,"Clinton County, Illinois",0,148,114,59,38,107,134,141,62,129,3929,6346
"G1700290","2011-2013",,,"Illinois","17","Coles County","029",,,,,,,,,,,,,,,,,"Coles County, Illinois",53705,49848,1978,78,507,23,139,1132,212,920,37492,89700,"Coles County, Illinois",0,181,225,79,87,38,82,255,145,225,2821,3306
"G1700310","2011-2013",,,"Illinois","17","Cook County","031",,,,,,,,,,,,,,,,,"Cook County, Illinois",5227094,2978319,1261246,12870,341768,973,517873,114045,30130,83915,53172,215500,"Cook County, Illinois",0,11362,3769,1445,2238,387,11382,4664,2156,4070,428,1398
"G1700370","2011-2013",,,"Illinois","17","DeKalb County","037",,,,,,,,,,,,,,,,,"DeKalb County, Illinois",104614,87213,6664,223,2617,9,4970,2918,767,2151,52095,164500,"DeKalb County, Illinois",0,998,634,168,232,14,1165,767,434,575,2182,3581
"G1700430","2011-2013",,,"Illinois","17","DuPage County","043",,,,,,,,,,,,,,,,,"DuPage County, Illinois",927775,744870,42991,1574,96455,329,19217,22339,4384,17955,77494,273700,"DuPage County, Illinois",0,2535,1187,399,1451,71,2178,1761,931,1569,1150,2196
"G1700490","2011-2013",,,"Illinois","17","Effingham County","049",,,,,,,,,,,,,,,,,"Effingham County, Illinois",34298,33601,53,51,150,0,170,273,0,273,51635,121500,"Effingham County, Illinois",0,114,51,46,67,107,99,103,107,103,2409,5243
"G1700510","2011-2013",,,"Illinois","17","Fayette County","051",,,,,,,,,,,,,,,,,"Fayette County, Illinois",22078,20736,725,30,95,0,63,429,109,320,44845,83800,"Fayette County, Illinois",0,160,155,45,76,107,95,169,126,171,2594,4761
"G1700550","2011-2013",,,"Illinois","17","Franklin County","055",,,,,,,,,,,,,,,,,"Franklin County, Illinois",39425,38486,73,44,181,0,45,596,3,593,37718,63800,"Franklin County, Illinois",0,52,36,62,55,107,37,83,4,83,1721,3271
"G1700570","2011-2013",,,"Illinois","17","Fulton County","057",,,,,,,,,,,,,,,,,"Fulton County, Illinois",36660,34602,972,108,59,17,171,731,14,717,46897,80700,"Fulton County, Illinois",0,163,221,110,62,20,158,243,17,245,2579,2541
"G1700630","2011-2013",,,"Illinois","17","Grundy County","063",,,,,,,,,,,,,,,,,"Grundy County, Illinois",50168,48092,736,52,205,0,447,636,75,561,63978,178200,"Grundy County, Illinois",0,266,189,43,122,107,241,237,59,224,4178,7051
"G1700730","2011-2013",,,"Illinois","17","Henry County","073",,,,,,,,,,,,,,,,,"Henry County, Illinois",50110,47429,901,16,154,10,587,1013,118,895,52492,107100,"Henry County, Illinois",0,324,182,39,86,16,244,269,106,251,1759,3607
"G1700750","2011-2013",,,"Illinois","17","Iroquois County","075",,,,,,,,,,,,,,,,,"Iroquois County, Illinois",29236,27961,382,39,167,0,376,311,95,216,47496,96600,"Iroquois County, Illinois",0,226,100,34,16,107,217,115,75,97,2655,3964
"G1700770","2011-2013",,,"Illinois","17","Jackson County","077",,,,,,,,,,,,,,,,,"Jackson County, Illinois",60078,46466,8621,355,1931,0,861,1844,147,1697,31558,103700,"Jackson County, Illinois",0,483,488,177,277,107,446,526,175,533,3093,8097
"G1700810","2011-2013",,,"Illinois","17","Jefferson County","081",,,,,,,,,,,,,,,,,"Jefferson County, Illinois",38693,33997,2998,75,328,0,147,1148,227,921,42506,86000,"Jefferson County, Illinois",0,148,252,47,69,107,100,313,165,266,2525,3515
"G1700830","2011-2013",,,"Illinois","17","Jersey County","083",,,,,,,,,,,,,,,,,"Jersey County, Illinois",,,,,,,,,,,55775,121000,"Jersey County, Illinois",,,,,,,,,,,4783,9310
"G1700850","2011-2013",,,"Illinois","17","Jo Daviess County","085",,,,,,,,,,,,,,,,,"Jo Daviess County, Illinois",22553,22087,38,54,95,11,0,268,30,238,52586,140800,"Jo Daviess County, Illinois",0,28,56,28,36,20,107,89,33,79,4231,13002
"G1700890","2011-2013",,,"Illinois","17","Kane County","089",,,,,,,,,,,,,,,,,"Kane County, Illinois",521561,377986,28132,1867,18836,114,84130,10496,2517,7979,68228,208200,"Kane County, Illinois",0,3433,1116,538,680,69,3509,1305,594,1227,1375,3968
"G1700910","2011-2013",,,"Illinois","17","Kankakee County","091",,,,,,,,,,,,,,,,,"Kankakee County, Illinois",112795,90811,16732,281,1194,18,1386,2373,286,2087,48908,140400,"Kankakee County, Illinois",0,585,403,206,130,28,512,481,185,454,2139,3713
"G1700930","2011-2013",,,"Illinois","17","Kendall County","093",,,,,,,,,,,,,,,,,"Kendall County, Illinois",118045,99828,7269,282,4123,0,4476,2067,742,1325,79441,193400,"Kendall County, Illinois",0,1671,475,474,350,107,1347,963,755,647,4308,6623
"G1700950","2011-2013",,,"Illinois","17","Knox County","095",,,,,,,,,,,,,,,,,"Knox County, Illinois",52331,45889,4401,33,384,9,795,820,142,678,39264,79600,"Knox County, Illinois",0,328,261,46,139,16,324,281,119,236,2494,2981
"G1700970","2011-2013",,,"Illinois","17","Lake County","097",,,,,,,,,,,,,,,,,"Lake County, Illinois",701763,564430,48954,1113,45780,302,23129,18055,3558,14497,75590,241100,"Lake County, Illinois",0,3055,1170,347,872,110,2693,1724,815,1394,1175,3511
"G1700990","2011-2013",,,"Illinois","17","LaSalle County","099",,,,,,,,,,,,,,,,,"LaSalle County, Illinois",112871,106921,2661,145,873,0,1029,1242,198,1044,49147,121300,"LaSalle County, Illinois",0,457,285,93,179,107,421,271,144,247,1887,3165
"G1701030","2011-2013",,,"Illinois","17","Lee County","103",,,,,,,,,,,,,,,,,"Lee County, Illinois",35169,32300,1794,34,269,48,203,521,83,438,51305,112000,"Lee County, Illinois",0,247,185,44,99,73,215,233,56,216,3436,5095
"G1701050","2011-2013",,,"Illinois","17","Livingston County","105",,,,,,,,,,,,,,,,,"Livingston County, Illinois",38511,34686,2661,19,325,0,368,452,84,368,54883,107500,"Livingston County, Illinois",0,1061,959,21,206,107,148,190,74,173,3222,5631
"G1701070","2011-2013",,,"Illinois","17","Logan County","107",,,,,,,,,,,,,,,,,"Logan County, Illinois",30085,23384,4382,24,407,17,553,1318,63,1255,46771,98700,"Logan County, Illinois",0,1015,859,18,275,21,197,484,51,478,3193,4750
"G1701090","2011-2013",,,"Illinois","17","McDonough County","109",,,,,,,,,,,,,,,,,"McDonough County, Illinois",32515,29424,1771,38,658,0,43,581,0,581,37810,87400,"McDonough County, Illinois",0,133,176,42,118,107,47,176,107,176,4497,5501
"G1701110","2011-2013",,,"Illinois","17","McHenry County","111",,,,,,,,,,,,,,,,,"McHenry County, Illinois",307684,280279,4007,323,7737,71,9377,5890,1024,4866,74657,206500,"McHenry County, Illinois",0,1795,935,193,594,90,1801,856,504,780,1853,3173
"G1701130","2011-2013",,,"Illinois","17","McLean County","113",,,,,,,,,,,,,,,,,"McLean County, Illinois",172548,145687,13366,314,7924,27,1568,3662,421,3241,61786,157900,"McLean County, Illinois",0,561,575,180,470,40,505,663,272,611,1522,2670
"G1701150","2011-2013",,,"Illinois","17","Macon County","115",,,,,,,,,,,,,,,,,"Macon County, Illinois",109942,86728,17448,46,1374,43,587,3716,236,3480,46342,93700,"Macon County, Illinois",0,333,650,36,131,57,232,776,196,670,1649,2428
"G1701170","2011-2013",,,"Illinois","17","Macoupin County","117",,,,,,,,,,,,,,,,,"Macoupin County, Illinois",47299,45983,242,27,116,24,25,882,99,783,49996,92500,"Macoupin County, Illinois",0,99,85,23,63,35,39,105,75,67,2951,3560
"G1701190","2011-2013",,,"Illinois","17","Madison County","119",,,,,,,,,,,,,,,,,"Madison County, Illinois",267870,237424,21357,485,2320,55,1140,5089,542,4547,52591,124700,"Madison County, Illinois",0,636,636,233,362,84,439,815,303,735,1054,2850
"G1701210","2011-2013",,,"Illinois","17","Marion County","121",,,,,,,,,,,,,,,,,"Marion County, Illinois",38820,36145,1326,26,258,0,87,978,92,886,41250,69300,"Marion County, Illinois",0,111,137,32,75,107,59,175,62,152,2586,2764
"G1701330","2011-2013",,,"Illinois","17","Monroe County","133",,,,,,,,,,,,,,,,,"Monroe County, Illinois",,,,,,,,,,,69121,188700,"Monroe County, Illinois",,,,,,,,,,,4118,8348
"G1701350","2011-2013",,,"Illinois","17","Montgomery County","135",,,,,,,,,,,,,,,,,"Montgomery County, Illinois",29726,26004,3000,57,220,0,126,319,9,310,44073,78000,"Montgomery County, Illinois",0,1042,1008,45,128,107,84,170,11,171,3000,3722
"G1701370","2011-2013",,,"Illinois","17","Morgan County","137",,,,,,,,,,,,,,,,,"Morgan County, Illinois",35322,32280,2135,29,89,0,55,734,40,694,46628,91600,"Morgan County, Illinois",0,89,244,36,99,107,63,262,32,254,3408,5705
"G1701410","2011-2013",,,"Illinois","17","Ogle County","141",,,,,,,,,,,,,,,,,"Ogle County, Illinois",52796,50665,510,25,199,0,439,958,127,831,53286,142200,"Ogle County, Illinois",0,338,135,49,100,107,252,166,107,151,2603,5906
"G1701430","2011-2013",,,"Illinois","17","Peoria County","143",,,,,,,,,,,,,,,,,"Peoria County, Illinois",187463,140361,33128,617,6644,19,1733,4961,242,4719,49175,124100,"Peoria County, Illinois",0,564,785,93,289,32,505,816,139,818,1625,3838
"G1701450","2011-2013",,,"Illinois","17","Perry County","145",,,,,,,,,,,,,,,,,"Perry County, Illinois",22068,19386,1694,153,149,0,54,632,36,596,41084,76000,"Perry County, Illinois",0,207,281,177,112,107,47,212,44,212,4245,5673
"G1701570","2011-2013",,,"Illinois","17","Randolph County","157",,,,,,,,,,,,,,,,,"Randolph County, Illinois",33037,29230,3294,29,92,0,112,280,0,280,44897,97800,"Randolph County, Illinois",0,132,129,43,40,107,125,149,107,149,3381,5073
"G1701610","2011-2013",,,"Illinois","17","Rock Island County","161",,,,,,,,,,,,,,,,,"Rock Island County, Illinois",147397,121561,14031,584,2878,35,4446,3862,641,3221,47858,113700,"Rock Island County, Illinois",0,1053,523,269,275,40,912,633,211,678,1839,2631
"G1701630","2011-2013",,,"Illinois","17","St. Clair County","163",,,,,,,,,,,,,,,,,"St. Clair County, Illinois",268596,175468,79813,552,3470,47,1848,7398,461,6937,49305,121100,"St. Clair County, Illinois",0,627,1225,188,307,60,712,1234,224,1199,1986,3219
"G1701650","2011-2013",,,"Illinois","17","Saline County","165",,,,,,,,,,,,,,,,,"Saline County, Illinois",,,,,,,,,,,36480,66000,"Saline County, Illinois",,,,,,,,,,,2604,4017
"G1701670","2011-2013",,,"Illinois","17","Sangamon County","167",,,,,,,,,,,,,,,,,"Sangamon County, Illinois",199109,165558,24285,420,3511,63,1260,4012,274,3738,54185,128400,"Sangamon County, Illinois",0,427,573,189,316,71,428,646,161,636,1415,2776
"G1701730","2011-2013",,,"Illinois","17","Shelby County","173",,,,,,,,,,,,,,,,,"Shelby County, Illinois",22200,21903,95,68,68,0,0,66,4,62,47067,87000,"Shelby County, Illinois",0,13,52,59,16,107,107,45,6,44,3666,3603
"G1701770","2011-2013",,,"Illinois","17","Stephenson County","177",,,,,,,,,,,,,,,,,"Stephenson County, Illinois",47031,40881,4233,62,355,0,62,1438,10,1428,42652,100900,"Stephenson County, Illinois",0,274,341,41,112,107,72,432,9,432,3145,4042
