Census Tract,FIPS Code,Formatted FIPS,"Designated Qualified Opportunity Zones, as of 2018.",city,Median leverage ratio for all loans in 2016.,NAME,medincome,phisp,pblk
"06067001101, CA",6067001101,06067001101,Designated Qualified Opportunity Zone,Sacramento,2.42,"Census Tract 11.01, Sacramento County, California",27472,0.14014466546112117,0.1057866184448463
"06067002100, CA",6067002100,06067002100,Designated Qualified Opportunity Zone,Sacramento,3.34,"Census Tract 21, Sacramento County, California",47841,0.23310675729708116,0.037984806077568975
"06067000200, CA",6067000200,06067000200,Not Designated,Sacramento,2.87,"Census Tract 2, Sacramento County, California",99540,0.15211043270507035,0.01274223520042474
"06067009609, CA",6067009609,06067009609,Not Designated,Sacramento,3.42,"Census Tract 96.09, Sacramento County, California",60048,0.2688867745004757,0.1687916270218839
"06067000300, CA",6067000300,06067000300,Not Designated,Sacramento,2.71,"Census Tract 3, Sacramento County, California",103529,0.13581847649918963,0.002593192868719611
"06067003700, CA",6067003700,06067003700,Designated Qualified Opportunity Zone,Sacramento,3.43,"Census Tract 37, Sacramento County, California",27765,0.5017712550607287,0.12171052631578948
"06067005403, CA",6067005403,06067005403,Not Designated,Sacramento,2.23,"Census Tract 54.03, Sacramento County, California",65156,0.1899159663865546,0.034453781512605045
"06067002700, CA",6067002700,06067002700,Not Designated,Sacramento,3.01,"Census Tract 27, Sacramento County, California",31591,0.3205839416058394,0.23737226277372261
"06067003600, CA",6067003600,06067003600,Not Designated,Sacramento,2.85,"Census Tract 36, Sacramento County, California",38500,0.5287581699346405,0.03562091503267974
"06067003502, CA",6067003502,06067003502,Not Designated,Sacramento,2.79,"Census Tract 35.02, Sacramento County, California",46691,0.2625780389276533,0.0826294528094014
"06067003101, CA",6067003101,06067003101,Not Designated,Sacramento,2.96,"Census Tract 31.01, Sacramento County, California",45521,0.5655091917128684,0.0446454625036475
"06067004011, CA",6067004011,06067004011,Not Designated,Sacramento,2.8,"Census Tract 40.11, Sacramento County, California",107083,0.08768971332209106,0.07790893760539629
"06067002300, CA",6067002300,06067002300,Not Designated,Sacramento,2.84,"Census Tract 23, Sacramento County, California",104301,0.13455296547654175,0.011212747123045146
"06067003501, CA",6067003501,06067003501,Not Designated,Sacramento,2.88,"Census Tract 35.01, Sacramento County, California",37733,0.35565356856455493,0.06535685645549319
"06067009634, CA",6067009634,06067009634,Designated Qualified Opportunity Zone,Sacramento,3.44,"Census Tract 96.34, Sacramento County, California",37356,0.32577540106951874,0.17411764705882352
"06067003102, CA",6067003102,06067003102,Not Designated,Sacramento,2.77,"Census Tract 31.02, Sacramento County, California",42933,0.39275220372184133,0.10022853411687888
"06067001900, CA",6067001900,06067001900,Not Designated,Sacramento,3.26,"Census Tract 19, Sacramento County, California",42534,0.17353227375932534,0.050924424262082386
"06067007012, CA",6067007012,06067007012,Not Designated,Sacramento,2.59,"Census Tract 70.12, Sacramento County, California",51289,0.3746496418561196,0.18748053565867331
"06067002000, CA",6067002e3,06067002000,Not Designated,Sacramento,2.77,"Census Tract 20, Sacramento County, California",32780,0.19174757281553398,0.02750809061488673
"06067003203, CA",6067003203,06067003203,Not Designated,Sacramento,3.51,"Census Tract 32.03, Sacramento County, California",32841,0.3205087440381558,0.08744038155802862
"06067002500, CA",6067002500,06067002500,Not Designated,Sacramento,2.79,"Census Tract 25, Sacramento County, California",100278,0.10632746249184605,0.0273972602739726
"06067000400, CA",6067000400,06067000400,Not Designated,Sacramento,2.76,"Census Tract 4, Sacramento County, California",55714,0.21841972823351788,0.05435329642677403
"06067004906, CA",6067004906,06067004906,Not Designated,Sacramento,3.41,"Census Tract 49.06, Sacramento County, California",45446,0.2871062033127639,0.2536537836960052
"06067002600, CA",6067002600,06067002600,Not Designated,Sacramento,2.9,"Census Tract 26, Sacramento County, California",79571,0.16890881913303438,0.04484304932735426
"06067002800, CA",6067002800,06067002800,Designated Qualified Opportunity Zone,Sacramento,3.21,"Census Tract 28, Sacramento County, California",31806,0.46568201563857514,0.24847958297132927
"06067000500, CA",6067000500,06067000500,Designated Qualified Opportunity Zone,Sacramento,2.62,"Census Tract 5, Sacramento County, California",53977,0.25882352941176473,0.06996904024767801
"06067001400, CA",6067001400,06067001400,Not Designated,Sacramento,2.92,"Census Tract 14, Sacramento County, California",31368,0.10395434162250305,0.05666530778638402
"06067001300, CA",6067001300,06067001300,Not Designated,Sacramento,3.14,"Census Tract 13, Sacramento County, California",46713,0.1694471704285247,0.07196597971867845
"06067009633, CA",6067009633,06067009633,Not Designated,Sacramento,3.12,"Census Tract 96.33, Sacramento County, California",41477,0.3437762237762238,0.17454545454545456
"06067001200, CA",6067001200,06067001200,Not Designated,Sacramento,3.01,"Census Tract 12, Sacramento County, California",35674,0.13774709758393475,0.07279573266394729
"06067007013, CA",6067007013,06067007013,Not Designated,Sacramento,3.26,"Census Tract 70.13, Sacramento County, California",60551,0.3854625550660793,0.17180616740088106
"06067000800, CA",6067000800,06067000800,Not Designated,Sacramento,2.88,"Census Tract 8, Sacramento County, California",60571,0.10695876288659793,0.05219072164948454
"06067000700, CA",6067000700,06067000700,Designated Qualified Opportunity Zone,Sacramento,N/A,"Census Tract 7, Sacramento County, California",12171,0.23255813953488372,0.3063352044907779
"06067000600, CA",6067000600,06067000600,Not Designated,Sacramento,2.51,"Census Tract 6, Sacramento County, California",22106,0.18671875,0.26875
"06085504602, CA",6085504602,06085504602,Not Designated,San Jose,3.22,"Census Tract 5046.02, Santa Clara County, California",77734,0.5007664793050588,0.032703117015840576
"06085512001, CA",6085512001,06085512001,Not Designated,San Jose,3.26,"Census Tract 5120.01, Santa Clara County, California",154322,0.20401785714285714,0.019345238095238096
"06085505006, CA",6085505006,06085505006,Not Designated,San Jose,3.15,"Census Tract 5050.06, Santa Clara County, California",151180,0.05519529482732619,0.024129090634896697
